week_start_date,year,month,week_number,district,state,dengue_diagnostic_kits,iv_fluids_units,paracetamol_strips,ors_packets,antibiotics_courses,dengue_rapid_test_kits
2017-05-08,2017,5,19,Ariyalur,Tamil Nadu,39,330,1046,328,307,27
2017-05-15,2017,5,20,Ariyalur,Tamil Nadu,42,518,657,351,206,24
2017-05-22,2017,5,21,Ariyalur,Tamil Nadu,57,672,1237,316,419,27
2017-05-29,2017,5,22,Ariyalur,Tamil Nadu,24,456,562,521,357,12
2017-06-05,2017,6,23,Ariyalur,Tamil Nadu,24,132,1451,584,308,11
2017-06-12,2017,6,24,Ariyalur,Tamil Nadu,34,256,1416,1310,386,29
2017-06-19,2017,6,25,Ariyalur,Tamil Nadu,33,297,1245,942,408,20
2017-06-26,2017,6,26,Ariyalur,Tamil Nadu,43,264,1454,959,158,32
2017-07-03,2017,7,27,Ariyalur,Tamil Nadu,41,195,1201,258,376,25
2017-07-10,2017,7,28,Ariyalur,Tamil Nadu,57,111,823,407,357,28
2017-07-17,2017,7,29,Ariyalur,Tamil Nadu,36,310,993,613,254,23
2017-07-24,2017,7,30,Ariyalur,Tamil Nadu,52,235,1257,492,311,31
2017-07-31,2017,7,31,Ariyalur,Tamil Nadu,43,226,613,348,196,32
2017-08-07,2017,8,32,Ariyalur,Tamil Nadu,31,150,1111,480,270,19
2017-08-14,2017,8,33,Ariyalur,Tamil Nadu,26,250,1238,361,91,16
2017-08-21,2017,8,34,Ariyalur,Tamil Nadu,21,285,1156,456,326,12
2017-08-28,2017,8,35,Ariyalur,Tamil Nadu,36,230,1241,524,203,22
2017-09-04,2017,9,36,Ariyalur,Tamil Nadu,45,248,1260,612,275,30
2017-09-11,2017,9,37,Ariyalur,Tamil Nadu,38,265,1162,501,235,25
2017-09-18,2017,9,38,Ariyalur,Tamil Nadu,26,112,742,508,249,17
2017-09-25,2017,9,39,Ariyalur,Tamil Nadu,51,220,628,380,208,26
2017-10-02,2017,10,40,Ariyalur,Tamil Nadu,80,297,2347,359,202,45
2017-10-09,2017,10,41,Ariyalur,Tamil Nadu,133,1028,1666,535,199,66
2017-10-16,2017,10,42,Ariyalur,Tamil Nadu,145,242,966,582,186,109
2017-10-23,2017,10,43,Ariyalur,Tamil Nadu,80,492,1509,288,165,47
2017-10-30,2017,10,44,Ariyalur,Tamil Nadu,119,404,684,512,351,81
2017-11-06,2017,11,45,Ariyalur,Tamil Nadu,133,312,2112,483,394,98
2017-11-13,2017,11,46,Ariyalur,Tamil Nadu,209,628,1856,199,382,135
2017-11-20,2017,11,47,Ariyalur,Tamil Nadu,156,616,904,521,146,98
2017-11-27,2017,11,48,Ariyalur,Tamil Nadu,127,785,1268,380,174,69
2017-12-04,2017,12,49,Ariyalur,Tamil Nadu,157,487,1678,493,577,113
2017-12-11,2017,12,50,Ariyalur,Tamil Nadu,47,230,1150,511,192,36
2017-12-18,2017,12,51,Ariyalur,Tamil Nadu,139,901,1158,558,234,98
2017-12-25,2017,12,52,Ariyalur,Tamil Nadu,78,514,1887,448,527,54
2018-01-01,2018,1,1,Ariyalur,Tamil Nadu,63,278,880,343,247,33
2018-01-08,2018,1,2,Ariyalur,Tamil Nadu,24,122,732,337,348,16
2018-01-15,2018,1,3,Ariyalur,Tamil Nadu,46,100,1194,200,364,27
2018-01-22,2018,1,4,Ariyalur,Tamil Nadu,28,136,592,271,536,17
2018-01-29,2018,1,5,Ariyalur,Tamil Nadu,47,102,1249,312,448,21
2018-02-05,2018,2,6,Ariyalur,Tamil Nadu,26,234,557,543,205,17
2018-02-12,2018,2,7,Ariyalur,Tamil Nadu,46,144,655,336,313,23
2018-02-19,2018,2,8,Ariyalur,Tamil Nadu,45,224,1276,511,219,24
2018-02-26,2018,2,9,Ariyalur,Tamil Nadu,45,120,1377,218,330,30
2018-03-05,2018,3,10,Ariyalur,Tamil Nadu,23,254,943,248,161,11
2018-03-12,2018,3,11,Ariyalur,Tamil Nadu,43,156,820,525,281,26
2018-03-19,2018,3,12,Ariyalur,Tamil Nadu,27,148,593,288,399,18
2018-03-26,2018,3,13,Ariyalur,Tamil Nadu,17,147,1233,270,290,13
2018-04-02,2018,4,14,Ariyalur,Tamil Nadu,21,527,1402,639,331,10
2018-04-09,2018,4,15,Ariyalur,Tamil Nadu,52,212,900,314,224,32
2018-04-16,2018,4,16,Ariyalur,Tamil Nadu,29,259,1288,383,223,22
2018-04-23,2018,4,17,Ariyalur,Tamil Nadu,23,547,1391,550,193,13
2018-04-30,2018,4,18,Ariyalur,Tamil Nadu,44,444,1215,525,256,30
2018-05-07,2018,5,19,Ariyalur,Tamil Nadu,24,478,690,230,297,13
2018-05-14,2018,5,20,Ariyalur,Tamil Nadu,47,393,1086,269,242,30
2018-05-21,2018,5,21,Ariyalur,Tamil Nadu,45,473,997,477,159,28
2018-05-28,2018,5,22,Ariyalur,Tamil Nadu,54,294,959,288,143,39
2018-06-04,2018,6,23,Ariyalur,Tamil Nadu,33,256,1131,658,341,20
2018-06-11,2018,6,24,Ariyalur,Tamil Nadu,29,184,988,1127,150,20
2018-06-18,2018,6,25,Ariyalur,Tamil Nadu,31,244,1216,633,316,21
2018-06-25,2018,6,26,Ariyalur,Tamil Nadu,28,122,814,1128,301,21
2018-07-02,2018,7,27,Ariyalur,Tamil Nadu,25,138,831,444,339,13
2018-07-09,2018,7,28,Ariyalur,Tamil Nadu,33,282,1377,299,202,24
2018-07-16,2018,7,29,Ariyalur,Tamil Nadu,24,190,1007,261,242,13
2018-07-23,2018,7,30,Ariyalur,Tamil Nadu,27,267,1202,266,308,21
2018-07-30,2018,7,31,Ariyalur,Tamil Nadu,51,216,624,484,185,32
2018-08-06,2018,8,32,Ariyalur,Tamil Nadu,57,204,958,444,386,26
2018-08-13,2018,8,33,Ariyalur,Tamil Nadu,43,109,591,421,117,27
2018-08-20,2018,8,34,Ariyalur,Tamil Nadu,21,133,1164,547,170,16
2018-08-27,2018,8,35,Ariyalur,Tamil Nadu,25,262,1408,275,351,13
2018-09-03,2018,9,36,Ariyalur,Tamil Nadu,18,254,636,391,308,13
2018-09-10,2018,9,37,Ariyalur,Tamil Nadu,25,155,1331,338,275,13
2018-09-17,2018,9,38,Ariyalur,Tamil Nadu,46,250,818,241,259,23
2018-09-24,2018,9,39,Ariyalur,Tamil Nadu,44,275,1028,254,396,26
2018-10-01,2018,10,40,Ariyalur,Tamil Nadu,183,609,911,446,149,110
2018-10-08,2018,10,41,Ariyalur,Tamil Nadu,220,363,2367,496,290,100
2018-10-15,2018,10,42,Ariyalur,Tamil Nadu,178,371,1118,354,402,91
2018-10-22,2018,10,43,Ariyalur,Tamil Nadu,63,305,1208,262,321,45
2018-10-29,2018,10,44,Ariyalur,Tamil Nadu,73,607,1414,366,316,40
2018-11-05,2018,11,45,Ariyalur,Tamil Nadu,142,727,891,274,255,77
2018-11-12,2018,11,46,Ariyalur,Tamil Nadu,65,442,1458,413,330,41
2018-11-19,2018,11,47,Ariyalur,Tamil Nadu,156,351,1473,575,394,115
2018-11-26,2018,11,48,Ariyalur,Tamil Nadu,93,583,1619,365,417,64
2018-12-03,2018,12,49,Ariyalur,Tamil Nadu,122,493,849,202,746,65
2018-12-10,2018,12,50,Ariyalur,Tamil Nadu,192,820,2430,203,281,85
2018-12-17,2018,12,51,Ariyalur,Tamil Nadu,72,265,2471,535,518,42
2018-12-24,2018,12,52,Ariyalur,Tamil Nadu,205,473,1130,219,572,117
2018-12-31,2018,12,1,Ariyalur,Tamil Nadu,199,215,1232,267,645,130
2019-01-07,2019,1,2,Ariyalur,Tamil Nadu,36,186,1069,594,635,23
2019-01-14,2019,1,3,Ariyalur,Tamil Nadu,43,117,1378,383,436,22
2019-01-21,2019,1,4,Ariyalur,Tamil Nadu,51,108,960,504,451,32
2019-01-28,2019,1,5,Ariyalur,Tamil Nadu,55,121,934,261,662,29
2019-02-04,2019,2,6,Ariyalur,Tamil Nadu,50,210,1140,255,344,37
2019-02-11,2019,2,7,Ariyalur,Tamil Nadu,25,123,1145,382,160,14
2019-02-18,2019,2,8,Ariyalur,Tamil Nadu,24,185,1239,276,166,15
2019-02-25,2019,2,9,Ariyalur,Tamil Nadu,24,109,1318,469,367,14
2019-03-04,2019,3,10,Ariyalur,Tamil Nadu,50,133,909,314,380,26
2019-03-11,2019,3,11,Ariyalur,Tamil Nadu,39,237,1073,479,151,31
2019-03-18,2019,3,12,Ariyalur,Tamil Nadu,28,292,661,428,341,12
2019-03-25,2019,3,13,Ariyalur,Tamil Nadu,23,154,768,384,292,10
2019-04-01,2019,4,14,Ariyalur,Tamil Nadu,19,370,805,321,322,13
2019-04-08,2019,4,15,Ariyalur,Tamil Nadu,25,360,967,448,383,16
2019-04-15,2019,4,16,Ariyalur,Tamil Nadu,21,220,1554,453,403,15
2019-04-22,2019,4,17,Ariyalur,Tamil Nadu,26,214,697,606,228,16
2019-04-29,2019,4,18,Ariyalur,Tamil Nadu,34,566,739,542,110,16
2019-05-06,2019,5,19,Ariyalur,Tamil Nadu,38,267,1007,213,310,23
2019-05-13,2019,5,20,Ariyalur,Tamil Nadu,25,475,1192,362,108,13
2019-05-20,2019,5,21,Ariyalur,Tamil Nadu,42,252,626,234,326,28
2019-05-27,2019,5,22,Ariyalur,Tamil Nadu,45,555,920,479,338,24
2019-06-03,2019,6,23,Ariyalur,Tamil Nadu,48,122,816,540,118,21
2019-06-10,2019,6,24,Ariyalur,Tamil Nadu,23,125,1389,1375,314,12
2019-06-17,2019,6,25,Ariyalur,Tamil Nadu,32,188,1151,460,132,20
2019-06-24,2019,6,26,Ariyalur,Tamil Nadu,37,300,769,598,193,23
2019-07-01,2019,7,27,Ariyalur,Tamil Nadu,36,109,1013,443,185,19
2019-07-08,2019,7,28,Ariyalur,Tamil Nadu,51,210,669,267,320,35
2019-07-15,2019,7,29,Ariyalur,Tamil Nadu,37,128,1189,391,135,21
2019-07-22,2019,7,30,Ariyalur,Tamil Nadu,44,172,1309,293,263,31
2019-07-29,2019,7,31,Ariyalur,Tamil Nadu,37,250,474,192,297,24
2019-08-05,2019,8,32,Ariyalur,Tamil Nadu,53,172,1215,307,137,39
2019-08-12,2019,8,33,Ariyalur,Tamil Nadu,57,319,764,382,360,40
2019-08-19,2019,8,34,Ariyalur,Tamil Nadu,53,175,1387,278,112,31
2019-08-26,2019,8,35,Ariyalur,Tamil Nadu,20,182,592,568,347,16
2019-09-02,2019,9,36,Ariyalur,Tamil Nadu,25,257,1147,336,249,12
2019-09-09,2019,9,37,Ariyalur,Tamil Nadu,29,305,562,365,100,13
2019-09-16,2019,9,38,Ariyalur,Tamil Nadu,44,186,922,395,112,21
2019-09-23,2019,9,39,Ariyalur,Tamil Nadu,34,231,1219,279,321,15
2019-09-30,2019,9,40,Ariyalur,Tamil Nadu,38,140,1030,358,188,28
2019-10-07,2019,10,41,Ariyalur,Tamil Nadu,162,457,1193,389,310,96
2019-10-14,2019,10,42,Ariyalur,Tamil Nadu,119,340,2319,520,251,90
2019-10-21,2019,10,43,Ariyalur,Tamil Nadu,136,457,2505,229,201,66
2019-10-28,2019,10,44,Ariyalur,Tamil Nadu,65,333,1866,241,99,46
2019-11-04,2019,11,45,Ariyalur,Tamil Nadu,153,313,2467,353,135,82
2019-11-11,2019,11,46,Ariyalur,Tamil Nadu,159,335,1305,287,199,108
2019-11-18,2019,11,47,Ariyalur,Tamil Nadu,168,496,1946,389,382,95
2019-11-25,2019,11,48,Ariyalur,Tamil Nadu,49,487,750,293,352,40
2019-12-02,2019,12,49,Ariyalur,Tamil Nadu,204,426,2412,523,708,109
2019-12-09,2019,12,50,Ariyalur,Tamil Nadu,120,417,2633,367,561,85
2019-12-16,2019,12,51,Ariyalur,Tamil Nadu,106,926,1304,329,772,81
2019-12-23,2019,12,52,Ariyalur,Tamil Nadu,169,726,906,512,294,94
2019-12-30,2019,12,1,Ariyalur,Tamil Nadu,123,627,2339,232,681,97
2020-01-06,2020,1,2,Ariyalur,Tamil Nadu,47,189,1267,406,599,30
2020-01-13,2020,1,3,Ariyalur,Tamil Nadu,56,226,1176,581,568,32
2020-01-20,2020,1,4,Ariyalur,Tamil Nadu,41,285,1279,552,408,26
2020-01-27,2020,1,5,Ariyalur,Tamil Nadu,44,263,1455,575,270,35
2020-02-03,2020,2,6,Ariyalur,Tamil Nadu,56,112,917,395,268,28
2020-02-10,2020,2,7,Ariyalur,Tamil Nadu,27,238,1378,518,390,12
2020-02-17,2020,2,8,Ariyalur,Tamil Nadu,61,112,1126,532,410,29
2020-02-24,2020,2,9,Ariyalur,Tamil Nadu,34,145,1236,393,165,17
2020-03-02,2020,3,10,Ariyalur,Tamil Nadu,20,191,1293,430,298,11
2020-03-09,2020,3,11,Ariyalur,Tamil Nadu,21,138,552,326,385,14
2020-03-16,2020,3,12,Ariyalur,Tamil Nadu,20,158,1070,505,363,12
2020-03-23,2020,3,13,Ariyalur,Tamil Nadu,39,257,741,353,250,19
2020-03-30,2020,3,14,Ariyalur,Tamil Nadu,62,309,554,517,160,28
2020-04-06,2020,4,15,Ariyalur,Tamil Nadu,43,618,1101,368,307,29
2020-04-13,2020,4,16,Ariyalur,Tamil Nadu,39,284,635,363,114,24
2020-04-20,2020,4,17,Ariyalur,Tamil Nadu,64,491,870,487,136,32
2020-04-27,2020,4,18,Ariyalur,Tamil Nadu,21,628,917,259,240,12
2020-05-04,2020,5,19,Ariyalur,Tamil Nadu,32,282,622,364,197,24
2020-05-11,2020,5,20,Ariyalur,Tamil Nadu,33,452,1162,556,433,18
2020-05-18,2020,5,21,Ariyalur,Tamil Nadu,41,336,1032,210,127,24
2020-05-25,2020,5,22,Ariyalur,Tamil Nadu,27,592,743,365,424,15
2020-06-01,2020,6,23,Ariyalur,Tamil Nadu,28,202,741,483,236,17
2020-06-08,2020,6,24,Ariyalur,Tamil Nadu,45,173,788,780,127,20
2020-06-15,2020,6,25,Ariyalur,Tamil Nadu,29,294,1404,1225,309,18
2020-06-22,2020,6,26,Ariyalur,Tamil Nadu,24,255,1273,1378,162,17
2020-06-29,2020,6,27,Ariyalur,Tamil Nadu,27,282,1245,785,216,20
2020-07-06,2020,7,28,Ariyalur,Tamil Nadu,23,139,619,332,147,16
2020-07-13,2020,7,29,Ariyalur,Tamil Nadu,60,194,1223,267,136,26
2020-07-20,2020,7,30,Ariyalur,Tamil Nadu,23,190,974,296,136,16
2020-07-27,2020,7,31,Ariyalur,Tamil Nadu,53,181,996,482,328,36
2020-08-03,2020,8,32,Ariyalur,Tamil Nadu,48,203,506,298,290,26
2020-08-10,2020,8,33,Ariyalur,Tamil Nadu,23,238,975,209,322,12
2020-08-17,2020,8,34,Ariyalur,Tamil Nadu,20,285,1126,596,117,12
2020-08-24,2020,8,35,Ariyalur,Tamil Nadu,57,277,1234,559,267,28
2020-08-31,2020,8,36,Ariyalur,Tamil Nadu,27,108,1344,471,135,14
2020-09-07,2020,9,37,Ariyalur,Tamil Nadu,26,186,959,459,391,16
2020-09-14,2020,9,38,Ariyalur,Tamil Nadu,53,229,1250,525,261,30
2020-09-21,2020,9,39,Ariyalur,Tamil Nadu,37,165,1263,509,350,19
2020-09-28,2020,9,40,Ariyalur,Tamil Nadu,36,200,1175,323,277,19
2020-10-05,2020,10,41,Ariyalur,Tamil Nadu,174,585,1538,507,249,92
2020-10-12,2020,10,42,Ariyalur,Tamil Nadu,117,231,1423,512,118,79
2020-10-19,2020,10,43,Ariyalur,Tamil Nadu,135,421,1645,525,246,87
2020-10-26,2020,10,44,Ariyalur,Tamil Nadu,203,459,2060,577,191,118
2020-11-02,2020,11,45,Ariyalur,Tamil Nadu,148,327,1959,384,126,94
2020-11-09,2020,11,46,Ariyalur,Tamil Nadu,146,901,976,425,292,72
2020-11-16,2020,11,47,Ariyalur,Tamil Nadu,145,533,1874,351,317,101
2020-11-23,2020,11,48,Ariyalur,Tamil Nadu,108,833,1685,548,249,57
2020-11-30,2020,11,49,Ariyalur,Tamil Nadu,109,277,1792,294,249,66
2020-12-07,2020,12,50,Ariyalur,Tamil Nadu,168,792,2383,492,605,87
2020-12-14,2020,12,51,Ariyalur,Tamil Nadu,61,635,818,588,501,29
2020-12-21,2020,12,52,Ariyalur,Tamil Nadu,158,429,1220,635,662,114
2020-12-28,2020,12,53,Ariyalur,Tamil Nadu,126,567,836,490,413,77
2021-01-04,2021,1,1,Ariyalur,Tamil Nadu,18,165,983,540,619,13
2021-01-11,2021,1,2,Ariyalur,Tamil Nadu,17,189,1322,495,310,13
2021-01-18,2021,1,3,Ariyalur,Tamil Nadu,25,203,1408,206,290,14
2021-01-25,2021,1,4,Ariyalur,Tamil Nadu,35,193,533,206,650,18
2021-02-01,2021,2,5,Ariyalur,Tamil Nadu,23,155,1088,643,353,11
2021-02-08,2021,2,6,Ariyalur,Tamil Nadu,30,104,1018,396,396,18
2021-02-15,2021,2,7,Ariyalur,Tamil Nadu,50,107,1075,358,124,37
2021-02-22,2021,2,8,Ariyalur,Tamil Nadu,52,100,1329,595,400,31
2021-03-01,2021,3,9,Ariyalur,Tamil Nadu,46,254,1270,301,254,30
2021-03-08,2021,3,10,Ariyalur,Tamil Nadu,46,200,846,238,354,26
2021-03-15,2021,3,11,Ariyalur,Tamil Nadu,39,158,869,360,254,25
2021-03-22,2021,3,12,Ariyalur,Tamil Nadu,45,252,1454,431,326,22
