unique_id,state,district,disease,no_of_cases,no_of_deaths,outbreak_start_date,reporting_date,current_status,week_number,year,week_date_range
TN/2015/4/0037,Tamil Nadu,Krishnagiri,Dengue,11,0,01-01-2015,07-01-2015,Under Control,4,2015,Week 4 of 2015
TN/2015/4/0038,Tamil Nadu,Krishnagiri,Acute Gastroenteritis,9,0,01-01-2015,07-01-2015,Closed,4,2015,Week 4 of 2015
TN/2015/4/0039,Tamil Nadu,Krishnagiri,Fever,59,0,01-01-2015,07-01-2015,Under Surveillance,4,2015,Week 4 of 2015
TN/2015/4/0040,Tamil Nadu,Tirunelveli,Dengue,11,0,01-01-2015,07-01-2015,Under Surveillance,4,2015,Week 4 of 2015
TN/2015/4/0041,Tamil Nadu,Tirunelveli,Fever,73,0,01-01-2015,07-01-2015,Closed,4,2015,Week 4 of 2015
TN/2015/5/0042,Tamil Nadu,Tirupathur,Dengue,9,0,01-01-2015,07-01-2015,Closed,5,2015,Week 5 of 2015
TN/2015/5/0043,Tamil Nadu,Tirupathur,Scrub Typhus,3,0,01-01-2015,07-01-2015,Under Control,5,2015,Week 5 of 2015
TN/2015/5/0044,Tamil Nadu,Chennai,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Control,5,2015,Week 5 of 2015
TN/2015/5/0045,Tamil Nadu,Chennai,Acute Gastroenteritis,8,0,01-01-2015,07-01-2015,Closed,5,2015,Week 5 of 2015
TN/2015/5/0046,Tamil Nadu,Kanchipuram,Scrub Typhus,6,0,01-01-2015,07-01-2015,Under Control,5,2015,Week 5 of 2015
TN/2015/5/0047,Tamil Nadu,Kanchipuram,Fever,58,0,01-01-2015,07-01-2015,Closed,5,2015,Week 5 of 2015
TN/2015/5/0048,Tamil Nadu,Mayiladuthurai,Fever,48,0,01-01-2015,07-01-2015,Under Control,5,2015,Week 5 of 2015
TN/2015/5/0049,Tamil Nadu,Erode,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Surveillance,5,2015,Week 5 of 2015
TN/2015/5/0050,Tamil Nadu,Ariyalur,Scrub Typhus,6,0,01-01-2015,07-01-2015,Under Control,5,2015,Week 5 of 2015
TN/2015/6/0051,Tamil Nadu,Chennai,Dengue,6,0,01-01-2015,07-01-2015,Under Control,6,2015,Week 6 of 2015
TN/2015/6/0052,Tamil Nadu,Chennai,Acute Gastroenteritis,5,0,01-01-2015,07-01-2015,Under Control,6,2015,Week 6 of 2015
TN/2015/6/0053,Tamil Nadu,Chennai,Fever,39,0,01-01-2015,07-01-2015,Under Surveillance,6,2015,Week 6 of 2015
TN/2015/6/0054,Tamil Nadu,Cuddalore,Scrub Typhus,2,0,01-01-2015,07-01-2015,Closed,6,2015,Week 6 of 2015
TN/2015/6/0055,Tamil Nadu,Cuddalore,Fever,44,0,01-01-2015,07-01-2015,Under Control,6,2015,Week 6 of 2015
TN/2015/6/0056,Tamil Nadu,Perambalur,Scrub Typhus,2,0,01-01-2015,07-01-2015,Closed,6,2015,Week 6 of 2015
TN/2015/6/0057,Tamil Nadu,Dharmapuri,Dengue,9,0,01-01-2015,07-01-2015,Closed,6,2015,Week 6 of 2015
TN/2015/6/0058,Tamil Nadu,Dharmapuri,Acute Gastroenteritis,5,0,01-01-2015,07-01-2015,Closed,6,2015,Week 6 of 2015
TN/2015/6/0059,Tamil Nadu,Mayiladuthurai,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Surveillance,6,2015,Week 6 of 2015
TN/2015/6/0060,Tamil Nadu,Mayiladuthurai,Fever,43,0,01-01-2015,07-01-2015,Closed,6,2015,Week 6 of 2015
TN/2015/6/0061,Tamil Nadu,Kanniyakumari,Dengue,4,0,01-01-2015,07-01-2015,Under Control,6,2015,Week 6 of 2015
TN/2015/6/0062,Tamil Nadu,Kanniyakumari,Fever,31,0,01-01-2015,07-01-2015,Closed,6,2015,Week 6 of 2015
TN/2015/7/0063,Tamil Nadu,Nagapattinam,Scrub Typhus,3,0,01-01-2015,07-01-2015,Closed,7,2015,Week 7 of 2015
TN/2015/7/0064,Tamil Nadu,Chengalpattu,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Surveillance,7,2015,Week 7 of 2015
TN/2015/7/0065,Tamil Nadu,Tiruvarur,Dengue,5,0,01-01-2015,07-01-2015,Closed,7,2015,Week 7 of 2015
TN/2015/7/0066,Tamil Nadu,Tiruvarur,Fever,40,0,01-01-2015,07-01-2015,Closed,7,2015,Week 7 of 2015
TN/2015/7/0067,Tamil Nadu,Ariyalur,Dengue,5,1,01-01-2015,07-01-2015,Under Control,7,2015,Week 7 of 2015
TN/2015/7/0068,Tamil Nadu,Tirupathur,Acute Gastroenteritis,9,0,01-01-2015,07-01-2015,Under Control,7,2015,Week 7 of 2015
TN/2015/7/0069,Tamil Nadu,Tiruppur,Dengue,4,0,01-01-2015,07-01-2015,Closed,7,2015,Week 7 of 2015
TN/2015/7/0070,Tamil Nadu,Tiruppur,Fever,30,0,01-01-2015,07-01-2015,Under Control,7,2015,Week 7 of 2015
TN/2015/8/0071,Tamil Nadu,Chennai,Dengue,6,0,01-01-2015,07-01-2015,Under Surveillance,8,2015,Week 8 of 2015
TN/2015/8/0072,Tamil Nadu,Chennai,Fever,37,0,01-01-2015,07-01-2015,Under Surveillance,8,2015,Week 8 of 2015
TN/2015/8/0073,Tamil Nadu,Mayiladuthurai,Dengue,6,0,01-01-2015,07-01-2015,Under Control,8,2015,Week 8 of 2015
TN/2015/8/0074,Tamil Nadu,Cuddalore,Dengue,5,0,01-01-2015,07-01-2015,Under Surveillance,8,2015,Week 8 of 2015
TN/2015/8/0075,Tamil Nadu,Cuddalore,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Surveillance,8,2015,Week 8 of 2015
TN/2015/8/0076,Tamil Nadu,Tiruchirappalli,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Surveillance,8,2015,Week 8 of 2015
TN/2015/8/0077,Tamil Nadu,Ranipet,Dengue,6,0,01-01-2015,07-01-2015,Closed,8,2015,Week 8 of 2015
TN/2015/8/0078,Tamil Nadu,Coimbatore,Scrub Typhus,5,0,01-01-2015,07-01-2015,Closed,8,2015,Week 8 of 2015
TN/2015/8/0079,Tamil Nadu,Chengalpattu,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Control,8,2015,Week 8 of 2015
TN/2015/8/0080,Tamil Nadu,Chengalpattu,Acute Gastroenteritis,10,0,01-01-2015,07-01-2015,Closed,8,2015,Week 8 of 2015
TN/2015/8/0081,Tamil Nadu,Erode,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Surveillance,8,2015,Week 8 of 2015
TN/2015/9/0082,Tamil Nadu,Ariyalur,Dengue,6,0,01-01-2015,07-01-2015,Closed,9,2015,Week 9 of 2015
TN/2015/9/0083,Tamil Nadu,Ariyalur,Fever,37,0,01-01-2015,07-01-2015,Under Control,9,2015,Week 9 of 2015
TN/2015/9/0084,Tamil Nadu,Coimbatore,Scrub Typhus,4,0,01-01-2015,07-01-2015,Under Control,9,2015,Week 9 of 2015
TN/2015/9/0085,Tamil Nadu,Tiruppur,Dengue,7,0,01-01-2015,07-01-2015,Closed,9,2015,Week 9 of 2015
TN/2015/9/0086,Tamil Nadu,Tiruppur,Scrub Typhus,3,0,01-01-2015,07-01-2015,Under Surveillance,9,2015,Week 9 of 2015
TN/2015/9/0087,Tamil Nadu,Ramanathapuram,Acute Gastroenteritis,10,0,01-01-2015,07-01-2015,Closed,9,2015,Week 9 of 2015
TN/2015/9/0088,Tamil Nadu,Kanniyakumari,Dengue,3,0,01-01-2015,07-01-2015,Closed,9,2015,Week 9 of 2015
TN/2015/9/0089,Tamil Nadu,Kanniyakumari,Acute Gastroenteritis,11,0,01-01-2015,07-01-2015,Closed,9,2015,Week 9 of 2015
TN/2015/9/0090,Tamil Nadu,Kanniyakumari,Fever,38,0,01-01-2015,07-01-2015,Under Control,9,2015,Week 9 of 2015
TN/2015/10/0091,Tamil Nadu,Tuticorin,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0092,Tamil Nadu,Tuticorin,Fever,22,0,01-01-2015,07-01-2015,Closed,10,2015,Week 10 of 2015
TN/2015/10/0093,Tamil Nadu,Chengalpattu,Acute Gastroenteritis,6,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0094,Tamil Nadu,Tiruvarur,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0095,Tamil Nadu,Madurai,Dengue,6,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0096,Tamil Nadu,Madurai,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0097,Tamil Nadu,Coimbatore,Dengue,5,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0098,Tamil Nadu,Coimbatore,Fever,14,0,01-01-2015,07-01-2015,Closed,10,2015,Week 10 of 2015
TN/2015/10/0099,Tamil Nadu,Namakkal,Dengue,5,0,01-01-2015,07-01-2015,Under Surveillance,10,2015,Week 10 of 2015
TN/2015/10/0100,Tamil Nadu,Namakkal,Acute Gastroenteritis,5,0,01-01-2015,07-01-2015,Closed,10,2015,Week 10 of 2015
TN/2015/10/0101,Tamil Nadu,Tenkasi,Dengue,3,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0102,Tamil Nadu,Tenkasi,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0103,Tamil Nadu,Chennai,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/10/0104,Tamil Nadu,Chennai,Fever,21,0,01-01-2015,07-01-2015,Under Control,10,2015,Week 10 of 2015
TN/2015/11/0105,Tamil Nadu,Tiruvannamalai,Acute Gastroenteritis,9,0,01-01-2015,07-01-2015,Under Control,11,2015,Week 11 of 2015
TN/2015/11/0106,Tamil Nadu,The Nilgiris,Acute Gastroenteritis,14,0,01-01-2015,07-01-2015,Under Control,11,2015,Week 11 of 2015
TN/2015/11/0107,Tamil Nadu,Dindigul,Acute Gastroenteritis,8,0,01-01-2015,07-01-2015,Under Surveillance,11,2015,Week 11 of 2015
TN/2015/11/0108,Tamil Nadu,Dindigul,Fever,23,0,01-01-2015,07-01-2015,Under Control,11,2015,Week 11 of 2015
TN/2015/11/0109,Tamil Nadu,Tiruppur,Acute Gastroenteritis,7,0,01-01-2015,07-01-2015,Under Surveillance,11,2015,Week 11 of 2015
TN/2015/11/0110,Tamil Nadu,Tiruppur,Fever,18,0,01-01-2015,07-01-2015,Closed,11,2015,Week 11 of 2015
TN/2015/11/0111,Tamil Nadu,Tirunelveli,Scrub Typhus,1,0,01-01-2015,07-01-2015,Under Surveillance,11,2015,Week 11 of 2015
TN/2015/11/0112,Tamil Nadu,Tirunelveli,Acute Gastroenteritis,6,0,01-01-2015,07-01-2015,Under Surveillance,11,2015,Week 11 of 2015
TN/2015/11/0113,Tamil Nadu,Perambalur,Dengue,3,0,01-01-2015,07-01-2015,Closed,11,2015,Week 11 of 2015
TN/2015/11/0114,Tamil Nadu,Perambalur,Fever,20,0,01-01-2015,07-01-2015,Under Surveillance,11,2015,Week 11 of 2015
TN/2015/12/0115,Tamil Nadu,The Nilgiris,Scrub Typhus,6,0,01-01-2015,07-01-2015,Closed,12,2015,Week 12 of 2015
TN/2015/12/0116,Tamil Nadu,The Nilgiris,Fever,12,0,01-01-2015,07-01-2015,Under Surveillance,12,2015,Week 12 of 2015
TN/2015/12/0117,Tamil Nadu,Krishnagiri,Acute Gastroenteritis,8,0,01-01-2015,07-01-2015,Under Surveillance,12,2015,Week 12 of 2015
TN/2015/12/0118,Tamil Nadu,Nagapattinam,Scrub Typhus,3,0,01-01-2015,07-01-2015,Closed,12,2015,Week 12 of 2015
TN/2015/12/0119,Tamil Nadu,Nagapattinam,Acute Gastroenteritis,13,0,01-01-2015,07-01-2015,Under Surveillance,12,2015,Week 12 of 2015
TN/2015/12/0120,Tamil Nadu,Tenkasi,Scrub Typhus,1,0,01-01-2015,07-01-2015,Closed,12,2015,Week 12 of 2015
TN/2015/12/0121,Tamil Nadu,Tenkasi,Fever,10,0,01-01-2015,07-01-2015,Under Control,12,2015,Week 12 of 2015
TN/2015/12/0122,Tamil Nadu,Erode,Acute Gastroenteritis,5,0,01-01-2015,07-01-2015,Closed,12,2015,Week 12 of 2015
TN/2015/12/0123,Tamil Nadu,Sivaganga,Dengue,2,0,01-01-2015,07-01-2015,Under Control,12,2015,Week 12 of 2015
TN/2015/12/0124,Tamil Nadu,Namakkal,Dengue,5,0,01-01-2015,07-01-2015,Under Surveillance,12,2015,Week 12 of 2015
TN/2015/12/0125,Tamil Nadu,Dharmapuri,Dengue,6,0,01-01-2015,07-01-2015,Under Control,12,2015,Week 12 of 2015
TN/2015/12/0126,Tamil Nadu,Dharmapuri,Scrub Typhus,4,0,01-01-2015,07-01-2015,Under Surveillance,12,2015,Week 12 of 2015
TN/2015/12/0127,Tamil Nadu,Dharmapuri,Fever,12,0,01-01-2015,07-01-2015,Closed,12,2015,Week 12 of 2015
TN/2015/13/0128,Tamil Nadu,Ariyalur,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,13,2015,Week 13 of 2015
TN/2015/13/0129,Tamil Nadu,Tiruppur,Scrub Typhus,2,0,01-01-2015,07-01-2015,Closed,13,2015,Week 13 of 2015
TN/2015/14/0130,Tamil Nadu,Ariyalur,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,14,2015,Week 14 of 2015
TN/2015/14/0131,Tamil Nadu,Mayiladuthurai,Dengue,8,0,01-01-2015,07-01-2015,Closed,14,2015,Week 14 of 2015
TN/2015/14/0132,Tamil Nadu,Tiruppur,Dengue,9,0,01-01-2015,07-01-2015,Under Surveillance,14,2015,Week 14 of 2015
TN/2015/14/0133,Tamil Nadu,Tiruppur,Fever,14,0,01-01-2015,07-01-2015,Under Surveillance,14,2015,Week 14 of 2015
TN/2015/14/0134,Tamil Nadu,Theni,Acute Gastroenteritis,13,0,01-01-2015,07-01-2015,Under Control,14,2015,Week 14 of 2015
TN/2015/14/0135,Tamil Nadu,Coimbatore,Fever,17,0,01-01-2015,07-01-2015,Closed,14,2015,Week 14 of 2015
TN/2015/15/0136,Tamil Nadu,Chennai,Fever,16,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/15/0137,Tamil Nadu,Tirunelveli,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/15/0138,Tamil Nadu,Tenkasi,Scrub Typhus,1,0,01-01-2015,07-01-2015,Under Surveillance,15,2015,Week 15 of 2015
TN/2015/15/0139,Tamil Nadu,The Nilgiris,Scrub Typhus,2,0,01-01-2015,07-01-2015,Closed,15,2015,Week 15 of 2015
TN/2015/15/0140,Tamil Nadu,The Nilgiris,Acute Gastroenteritis,7,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/15/0141,Tamil Nadu,The Nilgiris,Fever,11,0,01-01-2015,07-01-2015,Under Surveillance,15,2015,Week 15 of 2015
TN/2015/15/0142,Tamil Nadu,Dindigul,Acute Gastroenteritis,10,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/15/0143,Tamil Nadu,Cuddalore,Scrub Typhus,4,0,01-01-2015,07-01-2015,Closed,15,2015,Week 15 of 2015
TN/2015/15/0144,Tamil Nadu,Cuddalore,Acute Gastroenteritis,9,0,01-01-2015,07-01-2015,Closed,15,2015,Week 15 of 2015
TN/2015/15/0145,Tamil Nadu,Cuddalore,Fever,8,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/15/0146,Tamil Nadu,Chengalpattu,Scrub Typhus,4,0,01-01-2015,07-01-2015,Under Surveillance,15,2015,Week 15 of 2015
TN/2015/15/0147,Tamil Nadu,Chengalpattu,Fever,11,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/15/0148,Tamil Nadu,Coimbatore,Dengue,6,0,01-01-2015,07-01-2015,Closed,15,2015,Week 15 of 2015
TN/2015/15/0149,Tamil Nadu,Tirupathur,Acute Gastroenteritis,6,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/15/0150,Tamil Nadu,Tirupathur,Fever,20,0,01-01-2015,07-01-2015,Under Control,15,2015,Week 15 of 2015
TN/2015/16/0151,Tamil Nadu,Thanjavur,Dengue,4,0,01-01-2015,07-01-2015,Closed,16,2015,Week 16 of 2015
TN/2015/16/0152,Tamil Nadu,Thanjavur,Acute Gastroenteritis,9,0,01-01-2015,07-01-2015,Under Control,16,2015,Week 16 of 2015
TN/2015/16/0153,Tamil Nadu,Thanjavur,Fever,14,0,01-01-2015,07-01-2015,Under Control,16,2015,Week 16 of 2015
TN/2015/16/0154,Tamil Nadu,Tirunelveli,Scrub Typhus,2,0,01-01-2015,07-01-2015,Closed,16,2015,Week 16 of 2015
TN/2015/16/0155,Tamil Nadu,Tirunelveli,Acute Gastroenteritis,9,0,01-01-2015,07-01-2015,Closed,16,2015,Week 16 of 2015
TN/2015/16/0156,Tamil Nadu,Tirunelveli,Fever,10,0,01-01-2015,07-01-2015,Closed,16,2015,Week 16 of 2015
TN/2015/17/0157,Tamil Nadu,Tiruvarur,Dengue,3,1,01-01-2015,07-01-2015,Closed,17,2015,Week 17 of 2015
TN/2015/17/0158,Tamil Nadu,Tiruvarur,Scrub Typhus,1,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/17/0159,Tamil Nadu,Tiruvarur,Acute Gastroenteritis,10,0,01-01-2015,07-01-2015,Under Control,17,2015,Week 17 of 2015
TN/2015/17/0160,Tamil Nadu,Salem,Scrub Typhus,1,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/17/0161,Tamil Nadu,Salem,Fever,19,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/17/0162,Tamil Nadu,Vellore,Dengue,2,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/17/0163,Tamil Nadu,Vellore,Fever,12,0,01-01-2015,07-01-2015,Under Control,17,2015,Week 17 of 2015
TN/2015/17/0164,Tamil Nadu,Ariyalur,Scrub Typhus,7,0,01-01-2015,07-01-2015,Closed,17,2015,Week 17 of 2015
TN/2015/17/0165,Tamil Nadu,Ariyalur,Acute Gastroenteritis,8,0,01-01-2015,07-01-2015,Closed,17,2015,Week 17 of 2015
TN/2015/17/0166,Tamil Nadu,Virudhunagar,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,17,2015,Week 17 of 2015
TN/2015/17/0167,Tamil Nadu,Virudhunagar,Fever,17,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/17/0168,Tamil Nadu,Chengalpattu,Dengue,5,0,01-01-2015,07-01-2015,Under Control,17,2015,Week 17 of 2015
TN/2015/17/0169,Tamil Nadu,Chengalpattu,Acute Gastroenteritis,11,0,01-01-2015,07-01-2015,Under Control,17,2015,Week 17 of 2015
TN/2015/17/0170,Tamil Nadu,Chengalpattu,Fever,25,0,01-01-2015,07-01-2015,Closed,17,2015,Week 17 of 2015
TN/2015/17/0171,Tamil Nadu,Mayiladuthurai,Dengue,3,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/17/0172,Tamil Nadu,Mayiladuthurai,Acute Gastroenteritis,4,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/17/0173,Tamil Nadu,Tuticorin,Dengue,7,0,01-01-2015,07-01-2015,Under Surveillance,17,2015,Week 17 of 2015
TN/2015/18/0174,Tamil Nadu,The Nilgiris,Fever,14,1,01-01-2015,07-01-2015,Under Surveillance,18,2015,Week 18 of 2015
TN/2015/18/0175,Tamil Nadu,Vellore,Dengue,5,0,01-01-2015,07-01-2015,Under Surveillance,18,2015,Week 18 of 2015
TN/2015/18/0176,Tamil Nadu,Vellore,Fever,19,0,01-01-2015,07-01-2015,Under Control,18,2015,Week 18 of 2015
TN/2015/18/0177,Tamil Nadu,Karur,Scrub Typhus,2,0,01-01-2015,07-01-2015,Under Control,18,2015,Week 18 of 2015
TN/2015/18/0178,Tamil Nadu,Karur,Acute Gastroenteritis,7,0,01-01-2015,07-01-2015,Closed,18,2015,Week 18 of 2015
TN/2015/18/0179,Tamil Nadu,Karur,Fever,17,0,01-01-2015,07-01-2015,Under Control,18,2015,Week 18 of 2015
TN/2015/18/0180,Tamil Nadu,Tenkasi,Fever,14,0,01-01-2015,07-01-2015,Under Control,18,2015,Week 18 of 2015
TN/2015/18/0181,Tamil Nadu,Coimbatore,Acute Gastroenteritis,12,0,01-01-2015,07-01-2015,Closed,18,2015,Week 18 of 2015
TN/2015/18/0182,Tamil Nadu,Dharmapuri,Dengue,9,0,01-01-2015,07-01-2015,Under Control,18,2015,Week 18 of 2015
TN/2015/18/0183,Tamil Nadu,Dharmapuri,Acute Gastroenteritis,13,0,01-01-2015,07-01-2015,Under Surveillance,18,2015,Week 18 of 2015
TN/2015/18/0184,Tamil Nadu,Dharmapuri,Fever,17,0,01-01-2015,07-01-2015,Closed,18,2015,Week 18 of 2015
TN/2015/19/0185,Tamil Nadu,Nagapattinam,Scrub Typhus,5,0,01-01-2015,07-01-2015,Under Surveillance,19,2015,Week 19 of 2015
TN/2015/19/0186,Tamil Nadu,Dindigul,Dengue,7,0,01-01-2015,07-01-2015,Under Surveillance,19,2015,Week 19 of 2015
TN/2015/19/0187,Tamil Nadu,Dindigul,Acute Gastroenteritis,15,0,01-01-2015,07-01-2015,Under Control,19,2015,Week 19 of 2015
TN/2015/19/0188,Tamil Nadu,Thiruvallur,Dengue,2,0,01-01-2015,07-01-2015,Under Control,19,2015,Week 19 of 2015
TN/2015/19/0189,Tamil Nadu,Tenkasi,Dengue,6,0,01-01-2015,07-01-2015,Under Control,19,2015,Week 19 of 2015
TN/2015/19/0190,Tamil Nadu,Tenkasi,Scrub Typhus,3,0,01-01-2015,07-01-2015,Closed,19,2015,Week 19 of 2015
