date,year,month,fortnight,district,state,aedes_larval_index,house_index,container_index,risk_level
2018-04-05,2018,4,1,Ariyalur,Tamil Nadu,4.28,3.77,2.61,Low
2018-04-19,2018,4,2,Ariyalur,Tamil Nadu,4.11,2.59,2.4,Low
2018-05-03,2018,5,1,Ariyalur,Tamil Nadu,5.11,3.28,2.84,Low
2018-05-17,2018,5,2,Ariyalur,Tamil Nadu,4.6,3.78,2.8,Low
2018-05-31,2018,5,2,Ariyalur,Tamil Nadu,4.99,3.53,2.44,Low
2018-06-14,2018,6,1,Ariyalur,Tamil Nadu,10.96,9.24,7.23,Medium
2018-06-28,2018,6,2,Ariyalur,Tamil Nadu,11.74,8.84,6.46,Medium
2018-07-12,2018,7,1,Ariyalur,Tamil Nadu,10.27,8.16,6.27,Medium
2018-07-26,2018,7,2,Ariyalur,Tamil Nadu,11.76,10.2,5.9,Medium
2018-08-09,2018,8,1,Ariyalur,Tamil Nadu,12.03,7.56,6.9,Medium
2018-08-23,2018,8,2,Ariyalur,Tamil Nadu,11.89,8.79,6.69,Medium
2018-09-06,2018,9,1,Ariyalur,Tamil Nadu,12.11,9.41,4.95,Medium
2018-09-20,2018,9,2,Ariyalur,Tamil Nadu,15.13,12.81,7.69,High
2018-10-04,2018,10,1,Ariyalur,Tamil Nadu,20.39,15.43,12.87,High
2018-10-18,2018,10,2,Ariyalur,Tamil Nadu,27.68,21.78,11.78,High
2018-11-01,2018,11,1,Ariyalur,Tamil Nadu,35.57,27.01,20.0,High
2018-11-15,2018,11,1,Ariyalur,Tamil Nadu,20.78,16.99,14.4,High
2018-11-29,2018,11,2,Ariyalur,Tamil Nadu,29.01,20.22,18.52,High
2018-12-13,2018,12,1,Ariyalur,Tamil Nadu,47.11,34.47,19.95,High
2018-12-27,2018,12,2,Ariyalur,Tamil Nadu,23.95,21.29,15.59,High
2019-01-10,2019,1,1,Ariyalur,Tamil Nadu,3.52,2.54,1.59,Low
2019-01-24,2019,1,2,Ariyalur,Tamil Nadu,2.6,1.76,1.47,Low
2019-02-07,2019,2,1,Ariyalur,Tamil Nadu,3.26,2.6,1.58,Low
2019-02-21,2019,2,2,Ariyalur,Tamil Nadu,3.55,2.92,2.01,Low
2019-03-07,2019,3,1,Ariyalur,Tamil Nadu,3.17,2.3,1.5,Low
2019-03-21,2019,3,2,Ariyalur,Tamil Nadu,2.83,2.34,1.14,Low
2019-04-04,2019,4,1,Ariyalur,Tamil Nadu,3.39,2.08,1.4,Low
2019-04-18,2019,4,2,Ariyalur,Tamil Nadu,4.57,3.71,2.48,Low
2019-05-02,2019,5,1,Ariyalur,Tamil Nadu,3.36,2.51,1.82,Low
2019-05-16,2019,5,2,Ariyalur,Tamil Nadu,3.51,2.56,1.82,Low
2019-05-30,2019,5,2,Ariyalur,Tamil Nadu,4.46,3.53,1.84,Low
2019-06-13,2019,6,1,Ariyalur,Tamil Nadu,7.6,5.99,4.19,Low
2019-06-27,2019,6,2,Ariyalur,Tamil Nadu,9.65,7.7,4.33,Medium
2019-07-11,2019,7,1,Ariyalur,Tamil Nadu,7.18,5.69,2.93,Low
2019-07-25,2019,7,2,Ariyalur,Tamil Nadu,9.74,8.59,5.58,Medium
2019-08-08,2019,8,1,Ariyalur,Tamil Nadu,14.94,11.85,8.03,Medium
2019-08-22,2019,8,2,Ariyalur,Tamil Nadu,13.5,11.91,6.96,Medium
2019-09-05,2019,9,1,Ariyalur,Tamil Nadu,30.52,26.6,14.0,High
2019-09-19,2019,9,2,Ariyalur,Tamil Nadu,15.38,9.69,6.24,High
2019-10-03,2019,10,1,Ariyalur,Tamil Nadu,41.66,33.53,17.55,High
2019-10-17,2019,10,2,Ariyalur,Tamil Nadu,28.17,24.04,11.46,High
2019-10-31,2019,10,2,Ariyalur,Tamil Nadu,26.18,17.92,11.4,High
2019-11-14,2019,11,1,Ariyalur,Tamil Nadu,53.27,42.01,35.33,High
2019-11-28,2019,11,2,Ariyalur,Tamil Nadu,28.53,23.99,13.83,High
2019-12-12,2019,12,1,Ariyalur,Tamil Nadu,28.15,23.23,18.07,High
2019-12-26,2019,12,2,Ariyalur,Tamil Nadu,64.59,46.75,33.04,High
2020-01-09,2020,1,1,Ariyalur,Tamil Nadu,5.0,3.51,3.4,Low
2020-01-23,2020,1,2,Ariyalur,Tamil Nadu,4.22,3.08,2.64,Low
2020-02-06,2020,2,1,Ariyalur,Tamil Nadu,3.53,2.23,2.37,Low
2020-02-20,2020,2,2,Ariyalur,Tamil Nadu,3.01,2.55,1.49,Low
2020-03-05,2020,3,1,Ariyalur,Tamil Nadu,3.48,2.49,1.4,Low
2020-03-19,2020,3,2,Ariyalur,Tamil Nadu,3.5,2.2,1.74,Low
2020-04-02,2020,4,1,Ariyalur,Tamil Nadu,4.72,4.18,2.7,Low
2020-04-16,2020,4,2,Ariyalur,Tamil Nadu,4.21,3.09,2.05,Low
2020-04-30,2020,4,2,Ariyalur,Tamil Nadu,4.24,3.4,2.65,Low
2020-05-14,2020,5,1,Ariyalur,Tamil Nadu,4.89,4.09,2.09,Low
2020-05-28,2020,5,2,Ariyalur,Tamil Nadu,4.69,2.89,2.65,Low
2020-06-11,2020,6,1,Ariyalur,Tamil Nadu,8.08,7.0,4.08,Medium
2020-06-25,2020,6,2,Ariyalur,Tamil Nadu,7.37,4.74,4.63,Low
2020-07-09,2020,7,1,Ariyalur,Tamil Nadu,9.35,5.89,3.98,Medium
2020-07-23,2020,7,2,Ariyalur,Tamil Nadu,13.35,8.3,8.63,Medium
2020-08-06,2020,8,1,Ariyalur,Tamil Nadu,21.01,13.12,8.94,High
2020-08-20,2020,8,2,Ariyalur,Tamil Nadu,25.87,18.43,13.22,High
2020-09-03,2020,9,1,Ariyalur,Tamil Nadu,19.76,17.47,13.75,High
2020-09-17,2020,9,2,Ariyalur,Tamil Nadu,22.8,16.25,9.69,High
2020-10-01,2020,10,1,Ariyalur,Tamil Nadu,27.88,21.4,14.7,High
2020-10-15,2020,10,1,Ariyalur,Tamil Nadu,37.06,23.47,20.3,High
2020-10-29,2020,10,2,Ariyalur,Tamil Nadu,23.18,17.17,9.66,High
2020-11-12,2020,11,1,Ariyalur,Tamil Nadu,21.21,13.47,12.61,High
2020-11-26,2020,11,2,Ariyalur,Tamil Nadu,24.04,18.63,16.56,High
2020-12-10,2020,12,1,Ariyalur,Tamil Nadu,43.92,30.12,29.01,High
2020-12-24,2020,12,2,Ariyalur,Tamil Nadu,48.03,42.7,19.39,High
2021-01-07,2021,1,1,Ariyalur,Tamil Nadu,6.4,3.92,4.27,Low
2021-01-21,2021,1,2,Ariyalur,Tamil Nadu,6.13,5.5,2.59,Low
2021-02-04,2021,2,1,Ariyalur,Tamil Nadu,9.19,8.19,5.12,Medium
2021-02-18,2021,2,2,Ariyalur,Tamil Nadu,3.17,2.56,1.7,Low
2021-03-04,2021,3,1,Ariyalur,Tamil Nadu,3.15,2.44,2.11,Low
2021-03-18,2021,3,2,Ariyalur,Tamil Nadu,2.78,1.9,1.9,Low
2021-04-01,2021,4,1,Ariyalur,Tamil Nadu,4.76,3.51,2.79,Low
2021-04-15,2021,4,1,Ariyalur,Tamil Nadu,3.66,2.4,1.97,Low
2021-04-29,2021,4,2,Ariyalur,Tamil Nadu,4.07,3.15,1.72,Low
2021-05-13,2021,5,1,Ariyalur,Tamil Nadu,5.13,4.6,3.13,Low
2021-05-27,2021,5,2,Ariyalur,Tamil Nadu,4.35,3.01,2.8,Low
2021-06-10,2021,6,1,Ariyalur,Tamil Nadu,13.72,8.9,9.24,Medium
2021-06-24,2021,6,2,Ariyalur,Tamil Nadu,13.91,12.31,8.59,Medium
2021-07-08,2021,7,1,Ariyalur,Tamil Nadu,11.59,8.41,7.88,Medium
2021-07-22,2021,7,2,Ariyalur,Tamil Nadu,14.98,9.19,6.11,Medium
2021-08-05,2021,8,1,Ariyalur,Tamil Nadu,13.96,11.77,9.72,Medium
2021-08-19,2021,8,2,Ariyalur,Tamil Nadu,12.26,9.54,6.3,Medium
2021-09-02,2021,9,1,Ariyalur,Tamil Nadu,25.91,22.09,16.88,High
2021-09-16,2021,9,2,Ariyalur,Tamil Nadu,16.16,11.71,7.79,High
2021-09-30,2021,9,2,Ariyalur,Tamil Nadu,16.34,14.04,10.52,High
2021-10-14,2021,10,1,Ariyalur,Tamil Nadu,37.7,33.89,21.36,High
2021-10-28,2021,10,2,Ariyalur,Tamil Nadu,55.62,49.14,36.43,High
2021-11-11,2021,11,1,Ariyalur,Tamil Nadu,27.25,20.03,11.96,High
2021-11-25,2021,11,2,Ariyalur,Tamil Nadu,63.81,49.89,29.9,High
2021-12-09,2021,12,1,Ariyalur,Tamil Nadu,51.24,40.25,26.0,High
2021-12-23,2021,12,2,Ariyalur,Tamil Nadu,45.65,36.59,25.39,High
2022-01-06,2022,1,1,Ariyalur,Tamil Nadu,4.3,3.25,2.82,Low
2022-01-20,2022,1,2,Ariyalur,Tamil Nadu,5.27,4.05,3.49,Low
2022-02-03,2022,2,1,Ariyalur,Tamil Nadu,2.89,1.85,1.18,Low
2022-02-17,2022,2,2,Ariyalur,Tamil Nadu,3.32,2.61,2.03,Low
2022-03-03,2022,3,1,Ariyalur,Tamil Nadu,3.05,1.95,1.23,Low
2022-03-17,2022,3,2,Ariyalur,Tamil Nadu,2.84,2.21,1.47,Low
2022-03-31,2022,3,2,Ariyalur,Tamil Nadu,3.22,2.81,1.62,Low
2022-04-14,2022,4,1,Ariyalur,Tamil Nadu,4.16,3.47,2.16,Low
2022-04-28,2022,4,2,Ariyalur,Tamil Nadu,5.13,4.41,3.51,Low
2022-05-12,2022,5,1,Ariyalur,Tamil Nadu,4.21,3.7,2.31,Low
2022-05-26,2022,5,2,Ariyalur,Tamil Nadu,4.35,3.21,3.02,Low
2022-06-09,2022,6,1,Ariyalur,Tamil Nadu,11.94,8.34,7.04,Medium
2022-06-23,2022,6,2,Ariyalur,Tamil Nadu,10.1,6.29,4.43,Medium
2022-07-07,2022,7,1,Ariyalur,Tamil Nadu,10.18,6.57,4.5,Medium
2022-07-21,2022,7,2,Ariyalur,Tamil Nadu,8.88,5.81,4.47,Medium
2022-08-04,2022,8,1,Ariyalur,Tamil Nadu,16.0,11.88,9.6,High
2022-08-18,2022,8,2,Ariyalur,Tamil Nadu,25.49,16.76,10.51,High
2022-09-01,2022,9,1,Ariyalur,Tamil Nadu,12.73,8.7,5.77,Medium
2022-09-15,2022,9,1,Ariyalur,Tamil Nadu,22.73,14.46,12.23,High
2022-09-29,2022,9,2,Ariyalur,Tamil Nadu,15.72,11.15,8.66,High
2022-10-13,2022,10,1,Ariyalur,Tamil Nadu,31.64,19.36,20.24,High
2022-10-27,2022,10,2,Ariyalur,Tamil Nadu,29.52,18.44,19.54,High
2022-11-10,2022,11,1,Ariyalur,Tamil Nadu,36.81,22.76,17.78,High
2022-11-24,2022,11,2,Ariyalur,Tamil Nadu,35.84,29.55,16.32,High
2022-12-08,2022,12,1,Ariyalur,Tamil Nadu,32.61,23.19,17.78,High
2022-12-22,2022,12,2,Ariyalur,Tamil Nadu,30.14,21.42,16.24,High
2023-01-05,2023,1,1,Ariyalur,Tamil Nadu,5.57,3.4,2.65,Low
2023-01-19,2023,1,2,Ariyalur,Tamil Nadu,4.07,3.54,2.25,Low
2023-02-02,2023,2,1,Ariyalur,Tamil Nadu,3.06,1.93,1.63,Low
2023-02-16,2023,2,2,Ariyalur,Tamil Nadu,3.27,2.2,1.57,Low
2023-03-02,2023,3,1,Ariyalur,Tamil Nadu,3.53,2.14,1.75,Low
2023-03-16,2023,3,2,Ariyalur,Tamil Nadu,2.71,1.89,1.18,Low
2023-03-30,2023,3,2,Ariyalur,Tamil Nadu,3.47,2.7,2.09,Low
2023-04-13,2023,4,1,Ariyalur,Tamil Nadu,6.15,4.61,2.62,Low
2023-04-27,2023,4,2,Ariyalur,Tamil Nadu,4.15,3.22,2.59,Low
2023-05-11,2023,5,1,Ariyalur,Tamil Nadu,4.1,2.62,1.99,Low
2023-05-25,2023,5,2,Ariyalur,Tamil Nadu,7.77,6.17,4.44,Low
2023-06-08,2023,6,1,Ariyalur,Tamil Nadu,7.92,7.1,4.61,Low
2023-06-22,2023,6,2,Ariyalur,Tamil Nadu,9.58,6.04,4.27,Medium
2023-07-06,2023,7,1,Ariyalur,Tamil Nadu,8.75,5.67,3.99,Medium
2023-07-20,2023,7,2,Ariyalur,Tamil Nadu,8.7,5.67,5.82,Medium
2023-08-03,2023,8,1,Ariyalur,Tamil Nadu,13.73,10.4,7.18,Medium
2023-08-17,2023,8,2,Ariyalur,Tamil Nadu,14.87,9.42,7.72,Medium
2023-08-31,2023,8,2,Ariyalur,Tamil Nadu,27.69,23.8,17.86,High
2023-09-14,2023,9,1,Ariyalur,Tamil Nadu,15.59,10.15,9.36,High
2023-09-28,2023,9,2,Ariyalur,Tamil Nadu,19.74,15.14,11.28,High
2023-10-12,2023,10,1,Ariyalur,Tamil Nadu,24.1,20.02,10.99,High
2023-10-26,2023,10,2,Ariyalur,Tamil Nadu,18.05,13.13,9.97,High
2023-11-09,2023,11,1,Ariyalur,Tamil Nadu,20.84,13.22,12.15,High
2023-11-23,2023,11,2,Ariyalur,Tamil Nadu,31.04,24.04,13.85,High
2023-12-07,2023,12,1,Ariyalur,Tamil Nadu,37.24,28.29,15.47,High
2023-12-21,2023,12,2,Ariyalur,Tamil Nadu,36.31,23.25,15.21,High
2024-01-04,2024,1,1,Ariyalur,Tamil Nadu,5.02,3.5,3.23,Low
2024-01-18,2024,1,2,Ariyalur,Tamil Nadu,2.93,2.36,1.84,Low
2024-02-01,2024,2,1,Ariyalur,Tamil Nadu,5.49,4.07,2.87,Low
2024-02-15,2024,2,1,Ariyalur,Tamil Nadu,2.82,2.48,1.83,Low
2024-02-29,2024,2,2,Ariyalur,Tamil Nadu,3.56,2.27,2.2,Low
2024-03-14,2024,3,1,Ariyalur,Tamil Nadu,3.53,2.31,1.48,Low
2024-03-28,2024,3,2,Ariyalur,Tamil Nadu,3.29,2.54,2.15,Low
2024-04-11,2024,4,1,Ariyalur,Tamil Nadu,3.42,2.87,1.57,Low
2024-04-25,2024,4,2,Ariyalur,Tamil Nadu,3.46,2.25,2.23,Low
2024-05-09,2024,5,1,Ariyalur,Tamil Nadu,4.39,3.32,2.23,Low
2024-05-23,2024,5,2,Ariyalur,Tamil Nadu,4.72,3.39,3.04,Low
2024-06-06,2024,6,1,Ariyalur,Tamil Nadu,16.1,11.48,8.67,High
2024-06-20,2024,6,2,Ariyalur,Tamil Nadu,12.29,10.13,6.77,Medium
2024-07-04,2024,7,1,Ariyalur,Tamil Nadu,11.41,9.93,5.88,Medium
2024-07-18,2024,7,2,Ariyalur,Tamil Nadu,9.7,8.46,5.7,Medium
2024-08-01,2024,8,1,Ariyalur,Tamil Nadu,12.4,10.94,7.3,Medium
2024-08-15,2024,8,1,Ariyalur,Tamil Nadu,11.59,7.44,7.4,Medium
2024-08-29,2024,8,2,Ariyalur,Tamil Nadu,27.92,21.22,18.66,High
2024-09-12,2024,9,1,Ariyalur,Tamil Nadu,16.6,10.72,8.19,High
2024-09-26,2024,9,2,Ariyalur,Tamil Nadu,13.33,10.97,5.47,Medium
2024-10-10,2024,10,1,Ariyalur,Tamil Nadu,20.73,17.18,13.74,High
2024-10-24,2024,10,2,Ariyalur,Tamil Nadu,26.52,22.45,11.49,High
2024-11-07,2024,11,1,Ariyalur,Tamil Nadu,34.8,22.21,18.07,High
2024-11-21,2024,11,2,Ariyalur,Tamil Nadu,30.0,19.35,14.06,High
2024-12-05,2024,12,1,Ariyalur,Tamil Nadu,38.79,31.65,22.98,High
2024-12-19,2024,12,2,Ariyalur,Tamil Nadu,42.5,32.42,20.21,High
2025-01-02,2025,1,1,Ariyalur,Tamil Nadu,8.44,5.52,5.68,Medium
2025-01-16,2025,1,2,Ariyalur,Tamil Nadu,3.85,2.77,2.07,Low
2025-01-30,2025,1,2,Ariyalur,Tamil Nadu,3.58,2.31,2.06,Low
2025-02-13,2025,2,1,Ariyalur,Tamil Nadu,3.51,2.75,1.42,Low
2025-02-27,2025,2,2,Ariyalur,Tamil Nadu,3.5,3.08,1.99,Low
2025-03-13,2025,3,1,Ariyalur,Tamil Nadu,3.25,2.85,1.99,Low
2025-03-27,2025,3,2,Ariyalur,Tamil Nadu,3.89,3.01,2.26,Low
2025-04-10,2025,4,1,Ariyalur,Tamil Nadu,4.5,3.69,3.06,Low
2025-04-24,2025,4,2,Ariyalur,Tamil Nadu,5.61,4.12,2.43,Low
2025-05-08,2025,5,1,Ariyalur,Tamil Nadu,5.5,4.68,2.41,Low
2025-05-22,2025,5,2,Ariyalur,Tamil Nadu,6.52,5.61,3.62,Low
2025-06-05,2025,6,1,Ariyalur,Tamil Nadu,16.94,12.19,7.05,High
2025-06-19,2025,6,2,Ariyalur,Tamil Nadu,8.92,7.5,3.58,Medium
2025-07-03,2025,7,1,Ariyalur,Tamil Nadu,10.69,7.69,6.0,Medium
2025-07-17,2025,7,2,Ariyalur,Tamil Nadu,10.53,7.41,5.31,Medium
2025-07-31,2025,7,2,Ariyalur,Tamil Nadu,9.28,6.83,4.34,Medium
2025-08-14,2025,8,1,Ariyalur,Tamil Nadu,12.47,8.01,5.65,Medium
2025-08-28,2025,8,2,Ariyalur,Tamil Nadu,26.61,19.31,17.95,High
2025-09-11,2025,9,1,Ariyalur,Tamil Nadu,12.07,9.34,7.12,Medium
2025-09-25,2025,9,2,Ariyalur,Tamil Nadu,15.45,12.35,7.01,High
2025-10-09,2025,10,1,Ariyalur,Tamil Nadu,43.36,27.95,22.74,High
2025-10-23,2025,10,2,Ariyalur,Tamil Nadu,23.01,20.69,12.67,High
2025-11-06,2025,11,1,Ariyalur,Tamil Nadu,50.83,31.52,31.77,High
2025-11-20,2025,11,2,Ariyalur,Tamil Nadu,20.89,18.16,9.64,High
2025-12-04,2025,12,1,Ariyalur,Tamil Nadu,23.05,14.08,12.48,High
2025-12-18,2025,12,2,Ariyalur,Tamil Nadu,53.92,33.41,34.11,High
2015-01-01,2015,1,1,Chengalpattu,Tamil Nadu,2.94,2.23,1.56,Low
2015-01-15,2015,1,1,Chengalpattu,Tamil Nadu,2.88,2.21,1.29,Low
2015-01-29,2015,1,2,Chengalpattu,Tamil Nadu,2.63,2.26,1.8,Low
2015-02-12,2015,2,1,Chengalpattu,Tamil Nadu,2.87,1.96,1.7,Low
2015-02-26,2015,2,2,Chengalpattu,Tamil Nadu,2.89,1.76,1.29,Low
2015-03-12,2015,3,1,Chengalpattu,Tamil Nadu,3.26,2.6,1.33,Low
2015-03-26,2015,3,2,Chengalpattu,Tamil Nadu,2.67,1.79,1.61,Low
2015-04-09,2015,4,1,Chengalpattu,Tamil Nadu,3.23,2.04,2.07,Low
2015-04-23,2015,4,2,Chengalpattu,Tamil Nadu,3.49,2.78,1.65,Low
2015-05-07,2015,5,1,Chengalpattu,Tamil Nadu,3.97,2.67,2.45,Low
2015-05-21,2015,5,2,Chengalpattu,Tamil Nadu,6.23,5.29,3.23,Low
2015-06-04,2015,6,1,Chengalpattu,Tamil Nadu,11.79,7.8,5.75,Medium
2015-06-18,2015,6,2,Chengalpattu,Tamil Nadu,9.87,5.96,4.2,Medium
2015-07-02,2015,7,1,Chengalpattu,Tamil Nadu,8.45,5.14,3.84,Medium
2015-07-16,2015,7,2,Chengalpattu,Tamil Nadu,9.11,6.62,6.08,Medium
2015-07-30,2015,7,2,Chengalpattu,Tamil Nadu,11.33,7.96,5.41,Medium
2015-08-13,2015,8,1,Chengalpattu,Tamil Nadu,20.12,15.64,9.67,High
2015-08-27,2015,8,2,Chengalpattu,Tamil Nadu,19.74,14.27,11.17,High
2015-09-10,2015,9,1,Chengalpattu,Tamil Nadu,18.77,12.92,12.85,High
2015-09-24,2015,9,2,Chengalpattu,Tamil Nadu,21.55,13.84,14.23,High
2015-10-08,2015,10,1,Chengalpattu,Tamil Nadu,25.01,21.72,16.01,High
2015-10-22,2015,10,2,Chengalpattu,Tamil Nadu,39.46,23.94,18.96,High
