week_start_date,year,month,week_number,district,state,paracetamol_strips_sold,ors_packets_sold,antipyretic_tablets_sold,antidiarrheal_tablets_sold,cough_cold_tablets_sold
2015-08-24,2015,8,35,Ariyalur,Tamil Nadu,1401,669,617,355,875
2015-08-31,2015,8,36,Ariyalur,Tamil Nadu,1919,757,555,321,457
2015-09-07,2015,9,37,Ariyalur,Tamil Nadu,1142,549,668,543,382
2015-09-14,2015,9,38,Ariyalur,Tamil Nadu,1252,400,441,507,368
2015-09-21,2015,9,39,Ariyalur,Tamil Nadu,836,589,920,347,337
2015-09-28,2015,9,40,Ariyalur,Tamil Nadu,1172,879,403,449,757
2015-10-05,2015,10,41,Ariyalur,Tamil Nadu,3868,395,1755,503,418
2015-10-12,2015,10,42,Ariyalur,Tamil Nadu,3942,472,1421,199,685
2015-10-19,2015,10,43,Ariyalur,Tamil Nadu,4436,691,982,486,546
2015-10-26,2015,10,44,Ariyalur,Tamil Nadu,3501,552,1027,344,615
2015-11-02,2015,11,45,Ariyalur,Tamil Nadu,3293,395,1104,422,462
2015-11-09,2015,11,46,Ariyalur,Tamil Nadu,1977,502,1761,280,593
2015-11-16,2015,11,47,Ariyalur,Tamil Nadu,1977,842,1945,478,474
2015-11-23,2015,11,48,Ariyalur,Tamil Nadu,2490,464,1580,362,695
2015-11-30,2015,11,49,Ariyalur,Tamil Nadu,4000,383,1176,649,542
2015-12-07,2015,12,50,Ariyalur,Tamil Nadu,4251,646,1330,319,561
2015-12-14,2015,12,51,Ariyalur,Tamil Nadu,3968,382,1539,447,1003
2015-12-21,2015,12,52,Ariyalur,Tamil Nadu,4049,405,1520,184,1402
2015-12-28,2015,12,53,Ariyalur,Tamil Nadu,3606,504,1367,372,1721
2016-01-04,2016,1,1,Ariyalur,Tamil Nadu,1606,560,872,328,1030
2016-01-11,2016,1,2,Ariyalur,Tamil Nadu,1217,567,547,552,1777
2016-01-18,2016,1,3,Ariyalur,Tamil Nadu,1186,411,940,347,1080
2016-01-25,2016,1,4,Ariyalur,Tamil Nadu,1509,573,630,307,634
2016-02-01,2016,2,5,Ariyalur,Tamil Nadu,1941,722,704,225,1929
2016-02-08,2016,2,6,Ariyalur,Tamil Nadu,1058,360,872,386,626
2016-02-15,2016,2,7,Ariyalur,Tamil Nadu,904,511,830,351,1395
2016-02-22,2016,2,8,Ariyalur,Tamil Nadu,783,509,420,374,577
2016-02-29,2016,2,9,Ariyalur,Tamil Nadu,1237,360,778,203,964
2016-03-07,2016,3,10,Ariyalur,Tamil Nadu,1658,702,693,503,492
2016-03-14,2016,3,11,Ariyalur,Tamil Nadu,953,376,796,481,578
2016-03-21,2016,3,12,Ariyalur,Tamil Nadu,1292,618,664,364,617
2016-03-28,2016,3,13,Ariyalur,Tamil Nadu,977,537,920,352,899
2016-04-04,2016,4,14,Ariyalur,Tamil Nadu,1506,518,1193,269,523
2016-04-11,2016,4,15,Ariyalur,Tamil Nadu,2646,373,1438,223,697
2016-04-18,2016,4,16,Ariyalur,Tamil Nadu,1645,616,1327,334,554
2016-04-25,2016,4,17,Ariyalur,Tamil Nadu,2809,704,661,506,857
2016-05-02,2016,5,18,Ariyalur,Tamil Nadu,2451,611,807,518,369
2016-05-09,2016,5,19,Ariyalur,Tamil Nadu,2579,373,1298,456,651
2016-05-16,2016,5,20,Ariyalur,Tamil Nadu,2355,543,1227,419,813
2016-05-23,2016,5,21,Ariyalur,Tamil Nadu,1376,427,1472,451,703
2016-05-30,2016,5,22,Ariyalur,Tamil Nadu,2623,646,919,505,491
2016-06-06,2016,6,23,Ariyalur,Tamil Nadu,1821,1509,782,1338,280
2016-06-13,2016,6,24,Ariyalur,Tamil Nadu,1192,1912,821,1006,550
2016-06-20,2016,6,25,Ariyalur,Tamil Nadu,1152,1771,712,1221,654
2016-06-27,2016,6,26,Ariyalur,Tamil Nadu,1708,947,470,759,434
2016-07-04,2016,7,27,Ariyalur,Tamil Nadu,1337,1245,449,1274,628
2016-07-11,2016,7,28,Ariyalur,Tamil Nadu,1339,1264,795,536,831
2016-07-18,2016,7,29,Ariyalur,Tamil Nadu,1388,1140,780,694,393
2016-07-25,2016,7,30,Ariyalur,Tamil Nadu,1042,1934,851,1165,312
2016-08-01,2016,8,31,Ariyalur,Tamil Nadu,2103,675,807,442,400
2016-08-08,2016,8,32,Ariyalur,Tamil Nadu,924,863,710,473,626
2016-08-15,2016,8,33,Ariyalur,Tamil Nadu,1187,783,914,394,551
2016-08-22,2016,8,34,Ariyalur,Tamil Nadu,930,776,938,517,381
2016-08-29,2016,8,35,Ariyalur,Tamil Nadu,1390,559,691,189,296
2016-09-05,2016,9,36,Ariyalur,Tamil Nadu,779,661,440,317,649
2016-09-12,2016,9,37,Ariyalur,Tamil Nadu,1678,338,620,342,885
2016-09-19,2016,9,38,Ariyalur,Tamil Nadu,1621,412,476,230,366
2016-09-26,2016,9,39,Ariyalur,Tamil Nadu,1049,600,835,384,708
2016-10-03,2016,10,40,Ariyalur,Tamil Nadu,3305,445,1473,465,842
2016-10-10,2016,10,41,Ariyalur,Tamil Nadu,2055,619,1129,463,750
2016-10-17,2016,10,42,Ariyalur,Tamil Nadu,4234,805,2406,253,894
2016-10-24,2016,10,43,Ariyalur,Tamil Nadu,4225,665,1956,238,637
2016-10-31,2016,10,44,Ariyalur,Tamil Nadu,1821,370,1275,498,587
2016-11-07,2016,11,45,Ariyalur,Tamil Nadu,3091,351,936,558,688
2016-11-14,2016,11,46,Ariyalur,Tamil Nadu,4196,728,1215,469,633
2016-11-21,2016,11,47,Ariyalur,Tamil Nadu,2118,320,1097,377,471
2016-11-28,2016,11,48,Ariyalur,Tamil Nadu,2562,490,1820,224,1001
2016-12-05,2016,12,49,Ariyalur,Tamil Nadu,2540,586,1471,293,920
2016-12-12,2016,12,50,Ariyalur,Tamil Nadu,3627,549,1413,207,1293
2016-12-19,2016,12,51,Ariyalur,Tamil Nadu,3806,388,1634,302,1256
2016-12-26,2016,12,52,Ariyalur,Tamil Nadu,2454,821,1132,193,1910
2017-01-02,2017,1,1,Ariyalur,Tamil Nadu,1846,521,759,563,634
2017-01-09,2017,1,2,Ariyalur,Tamil Nadu,1924,803,822,328,1822
2017-01-16,2017,1,3,Ariyalur,Tamil Nadu,1825,396,721,410,789
2017-01-23,2017,1,4,Ariyalur,Tamil Nadu,1488,727,735,241,1475
2017-01-30,2017,1,5,Ariyalur,Tamil Nadu,1940,471,506,365,1704
2017-02-06,2017,2,6,Ariyalur,Tamil Nadu,1672,472,747,229,1333
2017-02-13,2017,2,7,Ariyalur,Tamil Nadu,1826,527,477,232,1617
2017-02-20,2017,2,8,Ariyalur,Tamil Nadu,1478,407,494,535,1035
2017-02-27,2017,2,9,Ariyalur,Tamil Nadu,1107,314,745,286,1692
2017-03-06,2017,3,10,Ariyalur,Tamil Nadu,1762,511,838,481,499
2017-03-13,2017,3,11,Ariyalur,Tamil Nadu,1245,277,780,518,479
2017-03-20,2017,3,12,Ariyalur,Tamil Nadu,985,438,728,281,350
2017-03-27,2017,3,13,Ariyalur,Tamil Nadu,1391,594,906,475,339
2017-04-03,2017,4,14,Ariyalur,Tamil Nadu,2152,522,1277,549,833
2017-04-10,2017,4,15,Ariyalur,Tamil Nadu,3058,490,1429,229,450
2017-04-17,2017,4,16,Ariyalur,Tamil Nadu,2368,461,676,297,422
2017-04-24,2017,4,17,Ariyalur,Tamil Nadu,2197,535,612,356,440
2017-05-01,2017,5,18,Ariyalur,Tamil Nadu,2265,808,1438,453,903
2017-05-08,2017,5,19,Ariyalur,Tamil Nadu,2197,429,1219,356,643
2017-05-15,2017,5,20,Ariyalur,Tamil Nadu,2424,403,882,543,926
2017-05-22,2017,5,21,Ariyalur,Tamil Nadu,1536,691,1092,499,308
2017-05-29,2017,5,22,Ariyalur,Tamil Nadu,2918,462,613,375,736
2017-06-05,2017,6,23,Ariyalur,Tamil Nadu,1833,755,623,574,652
2017-06-12,2017,6,24,Ariyalur,Tamil Nadu,1520,1958,481,1036,506
2017-06-19,2017,6,25,Ariyalur,Tamil Nadu,1438,1186,380,1179,813
2017-06-26,2017,6,26,Ariyalur,Tamil Nadu,1916,1339,911,850,379
2017-07-03,2017,7,27,Ariyalur,Tamil Nadu,1709,1761,532,967,482
2017-07-10,2017,7,28,Ariyalur,Tamil Nadu,1029,1108,645,1182,659
2017-07-17,2017,7,29,Ariyalur,Tamil Nadu,1002,1857,478,1474,652
2017-07-24,2017,7,30,Ariyalur,Tamil Nadu,893,1463,951,1576,496
2017-07-31,2017,7,31,Ariyalur,Tamil Nadu,1698,1074,1089,875,563
2017-08-07,2017,8,32,Ariyalur,Tamil Nadu,820,728,735,226,680
2017-08-14,2017,8,33,Ariyalur,Tamil Nadu,1260,514,444,466,327
2017-08-21,2017,8,34,Ariyalur,Tamil Nadu,1780,390,756,309,817
2017-08-28,2017,8,35,Ariyalur,Tamil Nadu,883,636,687,500,878
2017-09-04,2017,9,36,Ariyalur,Tamil Nadu,1435,717,509,628,771
2017-09-11,2017,9,37,Ariyalur,Tamil Nadu,893,593,593,474,425
2017-09-18,2017,9,38,Ariyalur,Tamil Nadu,1481,505,863,591,670
2017-09-25,2017,9,39,Ariyalur,Tamil Nadu,1050,429,472,556,286
2017-10-02,2017,10,40,Ariyalur,Tamil Nadu,1973,746,2044,315,521
2017-10-09,2017,10,41,Ariyalur,Tamil Nadu,3935,682,1963,333,503
2017-10-16,2017,10,42,Ariyalur,Tamil Nadu,2592,398,1927,420,299
2017-10-23,2017,10,43,Ariyalur,Tamil Nadu,3226,713,1632,344,526
2017-10-30,2017,10,44,Ariyalur,Tamil Nadu,4630,364,1893,622,461
2017-11-06,2017,11,45,Ariyalur,Tamil Nadu,3295,695,1656,414,841
2017-11-13,2017,11,46,Ariyalur,Tamil Nadu,3372,702,1459,520,822
2017-11-20,2017,11,47,Ariyalur,Tamil Nadu,1750,556,2034,365,847
2017-11-27,2017,11,48,Ariyalur,Tamil Nadu,1811,579,1928,394,514
2017-12-04,2017,12,49,Ariyalur,Tamil Nadu,3970,573,1769,381,1205
2017-12-11,2017,12,50,Ariyalur,Tamil Nadu,2049,431,2071,581,947
2017-12-18,2017,12,51,Ariyalur,Tamil Nadu,1936,468,872,188,1409
2017-12-25,2017,12,52,Ariyalur,Tamil Nadu,3723,690,1331,520,898
2018-01-01,2018,1,1,Ariyalur,Tamil Nadu,1253,737,909,420,869
2018-01-08,2018,1,2,Ariyalur,Tamil Nadu,1121,518,388,355,1645
2018-01-15,2018,1,3,Ariyalur,Tamil Nadu,907,426,629,306,1552
2018-01-22,2018,1,4,Ariyalur,Tamil Nadu,1803,610,566,402,1758
2018-01-29,2018,1,5,Ariyalur,Tamil Nadu,1469,795,835,319,678
2018-02-05,2018,2,6,Ariyalur,Tamil Nadu,1583,774,385,506,1270
2018-02-12,2018,2,7,Ariyalur,Tamil Nadu,1829,755,632,285,1010
2018-02-19,2018,2,8,Ariyalur,Tamil Nadu,1265,531,423,347,942
2018-02-26,2018,2,9,Ariyalur,Tamil Nadu,1382,640,926,323,1030
2018-03-05,2018,3,10,Ariyalur,Tamil Nadu,1283,464,442,343,607
2018-03-12,2018,3,11,Ariyalur,Tamil Nadu,1351,755,459,520,810
2018-03-19,2018,3,12,Ariyalur,Tamil Nadu,1208,432,993,551,773
2018-03-26,2018,3,13,Ariyalur,Tamil Nadu,1180,654,938,274,804
2018-04-02,2018,4,14,Ariyalur,Tamil Nadu,2525,679,1292,373,879
2018-04-09,2018,4,15,Ariyalur,Tamil Nadu,2445,438,1552,570,287
2018-04-16,2018,4,16,Ariyalur,Tamil Nadu,1861,633,1311,543,522
2018-04-23,2018,4,17,Ariyalur,Tamil Nadu,1979,735,1368,318,935
2018-04-30,2018,4,18,Ariyalur,Tamil Nadu,1730,495,1343,453,374
2018-05-07,2018,5,19,Ariyalur,Tamil Nadu,1350,493,1206,513,361
2018-05-14,2018,5,20,Ariyalur,Tamil Nadu,2143,413,1366,402,277
2018-05-21,2018,5,21,Ariyalur,Tamil Nadu,2679,502,1073,365,753
2018-05-28,2018,5,22,Ariyalur,Tamil Nadu,2399,387,756,200,767
2018-06-04,2018,6,23,Ariyalur,Tamil Nadu,1011,1732,520,1046,344
2018-06-11,2018,6,24,Ariyalur,Tamil Nadu,1708,960,954,544,571
2018-06-18,2018,6,25,Ariyalur,Tamil Nadu,1642,1139,655,727,667
2018-06-25,2018,6,26,Ariyalur,Tamil Nadu,915,1035,764,1208,491
2018-07-02,2018,7,27,Ariyalur,Tamil Nadu,755,818,420,1444,732
2018-07-09,2018,7,28,Ariyalur,Tamil Nadu,837,1665,806,991,720
2018-07-16,2018,7,29,Ariyalur,Tamil Nadu,1103,919,670,977,835
2018-07-23,2018,7,30,Ariyalur,Tamil Nadu,1154,833,567,580,327
2018-07-30,2018,7,31,Ariyalur,Tamil Nadu,1375,1290,648,835,769
2018-08-06,2018,8,32,Ariyalur,Tamil Nadu,1547,854,628,431,808
2018-08-13,2018,8,33,Ariyalur,Tamil Nadu,1407,435,598,260,354
2018-08-20,2018,8,34,Ariyalur,Tamil Nadu,1452,671,613,387,300
2018-08-27,2018,8,35,Ariyalur,Tamil Nadu,1545,641,598,459,582
2018-09-03,2018,9,36,Ariyalur,Tamil Nadu,1420,699,463,513,477
2018-09-10,2018,9,37,Ariyalur,Tamil Nadu,1813,716,1016,286,738
2018-09-17,2018,9,38,Ariyalur,Tamil Nadu,2175,722,1009,331,698
2018-09-24,2018,9,39,Ariyalur,Tamil Nadu,1445,312,462,492,436
2018-10-01,2018,10,40,Ariyalur,Tamil Nadu,4477,670,2030,238,306
2018-10-08,2018,10,41,Ariyalur,Tamil Nadu,1931,646,1672,400,928
2018-10-15,2018,10,42,Ariyalur,Tamil Nadu,3492,483,1444,460,515
2018-10-22,2018,10,43,Ariyalur,Tamil Nadu,3665,504,1433,289,521
2018-10-29,2018,10,44,Ariyalur,Tamil Nadu,1969,439,1589,323,653
2018-11-05,2018,11,45,Ariyalur,Tamil Nadu,2806,559,2301,203,514
2018-11-12,2018,11,46,Ariyalur,Tamil Nadu,2409,579,1259,266,470
2018-11-19,2018,11,47,Ariyalur,Tamil Nadu,4333,392,1224,595,484
2018-11-26,2018,11,48,Ariyalur,Tamil Nadu,4448,529,852,218,554
2018-12-03,2018,12,49,Ariyalur,Tamil Nadu,3182,616,1456,274,1000
2018-12-10,2018,12,50,Ariyalur,Tamil Nadu,2618,336,1655,241,731
2018-12-17,2018,12,51,Ariyalur,Tamil Nadu,3056,404,1678,614,1451
2018-12-24,2018,12,52,Ariyalur,Tamil Nadu,3705,452,1752,334,673
2018-12-31,2018,12,1,Ariyalur,Tamil Nadu,2506,624,1384,393,935
2019-01-07,2019,1,2,Ariyalur,Tamil Nadu,1099,370,698,320,1505
2019-01-14,2019,1,3,Ariyalur,Tamil Nadu,1138,444,707,540,1611
2019-01-21,2019,1,4,Ariyalur,Tamil Nadu,1431,611,565,422,1659
2019-01-28,2019,1,5,Ariyalur,Tamil Nadu,1247,599,907,537,1020
2019-02-04,2019,2,6,Ariyalur,Tamil Nadu,1462,769,809,572,1082
2019-02-11,2019,2,7,Ariyalur,Tamil Nadu,1980,390,919,363,950
2019-02-18,2019,2,8,Ariyalur,Tamil Nadu,906,496,605,499,1008
2019-02-25,2019,2,9,Ariyalur,Tamil Nadu,1189,590,799,312,1362
2019-03-04,2019,3,10,Ariyalur,Tamil Nadu,754,784,890,461,498
2019-03-11,2019,3,11,Ariyalur,Tamil Nadu,907,491,445,241,363
2019-03-18,2019,3,12,Ariyalur,Tamil Nadu,1099,727,413,324,440
2019-03-25,2019,3,13,Ariyalur,Tamil Nadu,1858,644,542,243,425
2019-04-01,2019,4,14,Ariyalur,Tamil Nadu,3010,626,1000,477,801
2019-04-08,2019,4,15,Ariyalur,Tamil Nadu,1855,435,1135,502,603
2019-04-15,2019,4,16,Ariyalur,Tamil Nadu,2531,471,828,418,621
2019-04-22,2019,4,17,Ariyalur,Tamil Nadu,3084,513,1327,387,340
2019-04-29,2019,4,18,Ariyalur,Tamil Nadu,2504,389,1200,443,518
2019-05-06,2019,5,19,Ariyalur,Tamil Nadu,2209,551,594,439,693
2019-05-13,2019,5,20,Ariyalur,Tamil Nadu,1496,738,1170,209,896
2019-05-20,2019,5,21,Ariyalur,Tamil Nadu,1349,651,763,265,813
2019-05-27,2019,5,22,Ariyalur,Tamil Nadu,2058,617,807,549,541
2019-06-03,2019,6,23,Ariyalur,Tamil Nadu,1716,870,417,1298,628
2019-06-10,2019,6,24,Ariyalur,Tamil Nadu,1292,1621,859,614,593
2019-06-17,2019,6,25,Ariyalur,Tamil Nadu,1169,1137,727,842,684
2019-06-24,2019,6,26,Ariyalur,Tamil Nadu,1119,2106,742,956,380
2019-07-01,2019,7,27,Ariyalur,Tamil Nadu,1966,1748,730,669,646
2019-07-08,2019,7,28,Ariyalur,Tamil Nadu,1457,842,369,653,816
2019-07-15,2019,7,29,Ariyalur,Tamil Nadu,1056,1738,733,810,390
2019-07-22,2019,7,30,Ariyalur,Tamil Nadu,1642,2204,836,1411,478
2019-07-29,2019,7,31,Ariyalur,Tamil Nadu,1235,1827,773,1055,486
2019-08-05,2019,8,32,Ariyalur,Tamil Nadu,745,369,1012,473,532
2019-08-12,2019,8,33,Ariyalur,Tamil Nadu,1720,322,947,516,505
2019-08-19,2019,8,34,Ariyalur,Tamil Nadu,1535,663,456,393,755
2019-08-26,2019,8,35,Ariyalur,Tamil Nadu,1818,353,976,449,564
2019-09-02,2019,9,36,Ariyalur,Tamil Nadu,872,395,394,512,891
2019-09-09,2019,9,37,Ariyalur,Tamil Nadu,747,399,755,371,491
2019-09-16,2019,9,38,Ariyalur,Tamil Nadu,2043,694,430,348,824
2019-09-23,2019,9,39,Ariyalur,Tamil Nadu,1896,660,536,399,841
2019-09-30,2019,9,40,Ariyalur,Tamil Nadu,806,786,508,436,488
2019-10-07,2019,10,41,Ariyalur,Tamil Nadu,2405,278,882,505,555
2019-10-14,2019,10,42,Ariyalur,Tamil Nadu,3255,420,2191,385,899
2019-10-21,2019,10,43,Ariyalur,Tamil Nadu,1893,674,924,324,610
2019-10-28,2019,10,44,Ariyalur,Tamil Nadu,3695,311,2298,320,628
2019-11-04,2019,11,45,Ariyalur,Tamil Nadu,2317,708,2172,468,732
2019-11-11,2019,11,46,Ariyalur,Tamil Nadu,3368,506,1975,536,883
2019-11-18,2019,11,47,Ariyalur,Tamil Nadu,4164,527,1824,363,790
2019-11-25,2019,11,48,Ariyalur,Tamil Nadu,2801,365,1337,259,520
2019-12-02,2019,12,49,Ariyalur,Tamil Nadu,3134,497,1025,502,840
2019-12-09,2019,12,50,Ariyalur,Tamil Nadu,3170,389,1885,356,1678
2019-12-16,2019,12,51,Ariyalur,Tamil Nadu,3354,472,2035,334,924
2019-12-23,2019,12,52,Ariyalur,Tamil Nadu,3477,662,1538,263,879
2019-12-30,2019,12,1,Ariyalur,Tamil Nadu,2717,661,1777,429,1330
2020-01-06,2020,1,2,Ariyalur,Tamil Nadu,1475,472,873,280,1776
2020-01-13,2020,1,3,Ariyalur,Tamil Nadu,1005,522,811,613,726
2020-01-20,2020,1,4,Ariyalur,Tamil Nadu,1005,706,714,375,1588
2020-01-27,2020,1,5,Ariyalur,Tamil Nadu,945,362,501,221,769
2020-02-03,2020,2,6,Ariyalur,Tamil Nadu,1695,345,609,474,931
2020-02-10,2020,2,7,Ariyalur,Tamil Nadu,1459,338,800,266,1203
2020-02-17,2020,2,8,Ariyalur,Tamil Nadu,1369,733,457,332,1221
2020-02-24,2020,2,9,Ariyalur,Tamil Nadu,1344,575,595,237,713
2020-03-02,2020,3,10,Ariyalur,Tamil Nadu,1476,503,964,535,611
2020-03-09,2020,3,11,Ariyalur,Tamil Nadu,1838,434,444,405,444
2020-03-16,2020,3,12,Ariyalur,Tamil Nadu,1869,418,598,235,457
2020-03-23,2020,3,13,Ariyalur,Tamil Nadu,1799,286,829,501,814
2020-03-30,2020,3,14,Ariyalur,Tamil Nadu,967,328,433,541,803
2020-04-06,2020,4,15,Ariyalur,Tamil Nadu,1464,327,642,493,700
2020-04-13,2020,4,16,Ariyalur,Tamil Nadu,2577,564,1325,486,592
2020-04-20,2020,4,17,Ariyalur,Tamil Nadu,1978,622,1216,457,484
2020-04-27,2020,4,18,Ariyalur,Tamil Nadu,2871,422,1206,606,737
2020-05-04,2020,5,19,Ariyalur,Tamil Nadu,3242,811,726,613,673
2020-05-11,2020,5,20,Ariyalur,Tamil Nadu,1548,432,1075,498,811
2020-05-18,2020,5,21,Ariyalur,Tamil Nadu,1596,469,1199,452,587
2020-05-25,2020,5,22,Ariyalur,Tamil Nadu,2926,355,1644,238,676
2020-06-01,2020,6,23,Ariyalur,Tamil Nadu,1280,1745,414,934,720
2020-06-08,2020,6,24,Ariyalur,Tamil Nadu,1622,1204,449,862,709
2020-06-15,2020,6,25,Ariyalur,Tamil Nadu,1657,1536,458,1117,398
2020-06-22,2020,6,26,Ariyalur,Tamil Nadu,955,1518,564,965,463
2020-06-29,2020,6,27,Ariyalur,Tamil Nadu,854,1471,709,1367,656
2020-07-06,2020,7,28,Ariyalur,Tamil Nadu,814,746,761,710,854
2020-07-13,2020,7,29,Ariyalur,Tamil Nadu,1093,872,525,1646,669
2020-07-20,2020,7,30,Ariyalur,Tamil Nadu,1244,1401,895,858,446
2020-07-27,2020,7,31,Ariyalur,Tamil Nadu,2042,877,831,1125,738
2020-08-03,2020,8,32,Ariyalur,Tamil Nadu,1494,726,741,337,722
2020-08-10,2020,8,33,Ariyalur,Tamil Nadu,1490,399,598,242,829
2020-08-17,2020,8,34,Ariyalur,Tamil Nadu,1208,385,614,467,349
2020-08-24,2020,8,35,Ariyalur,Tamil Nadu,1499,512,690,305,902
2020-08-31,2020,8,36,Ariyalur,Tamil Nadu,1433,533,886,585,512
2020-09-07,2020,9,37,Ariyalur,Tamil Nadu,1088,580,735,473,919
2020-09-14,2020,9,38,Ariyalur,Tamil Nadu,1266,513,1064,364,609
2020-09-21,2020,9,39,Ariyalur,Tamil Nadu,1600,446,910,255,683
2020-09-28,2020,9,40,Ariyalur,Tamil Nadu,1314,586,755,537,932
2020-10-05,2020,10,41,Ariyalur,Tamil Nadu,2957,363,1066,409,542
2020-10-12,2020,10,42,Ariyalur,Tamil Nadu,3160,521,1572,281,501
2020-10-19,2020,10,43,Ariyalur,Tamil Nadu,3232,599,1386,644,380
2020-10-26,2020,10,44,Ariyalur,Tamil Nadu,2199,714,1278,450,371
2020-11-02,2020,11,45,Ariyalur,Tamil Nadu,3970,608,907,326,285
2020-11-09,2020,11,46,Ariyalur,Tamil Nadu,3467,612,2035,641,420
2020-11-16,2020,11,47,Ariyalur,Tamil Nadu,2830,499,2361,573,582
2020-11-23,2020,11,48,Ariyalur,Tamil Nadu,2726,476,1470,554,439
2020-11-30,2020,11,49,Ariyalur,Tamil Nadu,3003,422,1451,582,793
2020-12-07,2020,12,50,Ariyalur,Tamil Nadu,1953,780,1543,598,1145
2020-12-14,2020,12,51,Ariyalur,Tamil Nadu,3282,362,2226,252,1312
2020-12-21,2020,12,52,Ariyalur,Tamil Nadu,2805,449,1390,363,1376
2020-12-28,2020,12,53,Ariyalur,Tamil Nadu,4541,560,1281,323,1122
2021-01-04,2021,1,1,Ariyalur,Tamil Nadu,1410,808,434,315,1153
2021-01-11,2021,1,2,Ariyalur,Tamil Nadu,1807,595,572,384,1132
2021-01-18,2021,1,3,Ariyalur,Tamil Nadu,1392,556,789,340,734
2021-01-25,2021,1,4,Ariyalur,Tamil Nadu,1587,504,383,372,889
2021-02-01,2021,2,5,Ariyalur,Tamil Nadu,1291,375,526,557,1463
2021-02-08,2021,2,6,Ariyalur,Tamil Nadu,1058,705,998,578,1722
2021-02-15,2021,2,7,Ariyalur,Tamil Nadu,963,532,522,492,1589
2021-02-22,2021,2,8,Ariyalur,Tamil Nadu,1070,421,471,617,970
2021-03-01,2021,3,9,Ariyalur,Tamil Nadu,813,595,391,566,913
2021-03-08,2021,3,10,Ariyalur,Tamil Nadu,949,737,501,450,569
2021-03-15,2021,3,11,Ariyalur,Tamil Nadu,2178,797,683,515,377
2021-03-22,2021,3,12,Ariyalur,Tamil Nadu,1783,710,537,396,397
2021-03-29,2021,3,13,Ariyalur,Tamil Nadu,1938,395,674,571,404
2021-04-05,2021,4,14,Ariyalur,Tamil Nadu,1451,771,1276,467,798
2021-04-12,2021,4,15,Ariyalur,Tamil Nadu,3044,607,883,267,493
2021-04-19,2021,4,16,Ariyalur,Tamil Nadu,2513,775,781,200,597
2021-04-26,2021,4,17,Ariyalur,Tamil Nadu,1337,405,622,442,502
2021-05-03,2021,5,18,Ariyalur,Tamil Nadu,2721,380,1187,515,863
2021-05-10,2021,5,19,Ariyalur,Tamil Nadu,1760,436,1071,391,706
