week_start_date,year,month,week_number,district,state,total_bed_capacity,total_occupied_beds,dengue_beds_occupied,heat_stroke_beds_occupied,gastroenteritis_beds_occupied,respiratory_beds_occupied,occupancy_rate_pct
2016-10-03,2016,10,40,Ariyalur,Tamil Nadu,333,257,68,12,9,10,80.6
2016-10-10,2016,10,41,Ariyalur,Tamil Nadu,333,311,57,12,13,20,97.1
2016-10-17,2016,10,42,Ariyalur,Tamil Nadu,333,298,81,12,15,19,96.5
2016-10-24,2016,10,43,Ariyalur,Tamil Nadu,333,253,50,5,19,13,81.2
2016-10-31,2016,10,44,Ariyalur,Tamil Nadu,333,310,64,10,11,17,86.7
2016-11-07,2016,11,45,Ariyalur,Tamil Nadu,333,357,67,10,14,24,100.0
2016-11-14,2016,11,46,Ariyalur,Tamil Nadu,333,325,72,8,11,12,92.3
2016-11-21,2016,11,47,Ariyalur,Tamil Nadu,333,311,92,12,10,14,93.3
2016-11-28,2016,11,48,Ariyalur,Tamil Nadu,333,306,69,9,18,12,100.0
2016-12-05,2016,12,49,Ariyalur,Tamil Nadu,333,333,91,4,16,62,100.0
2016-12-12,2016,12,50,Ariyalur,Tamil Nadu,333,323,69,10,7,52,95.7
2016-12-19,2016,12,51,Ariyalur,Tamil Nadu,333,307,95,4,7,47,100.0
2016-12-26,2016,12,52,Ariyalur,Tamil Nadu,333,318,99,9,15,49,100.0
2017-01-02,2017,1,1,Ariyalur,Tamil Nadu,333,266,9,9,15,47,84.9
2017-01-09,2017,1,2,Ariyalur,Tamil Nadu,333,314,22,6,8,56,90.4
2017-01-16,2017,1,3,Ariyalur,Tamil Nadu,333,299,11,13,7,59,88.2
2017-01-23,2017,1,4,Ariyalur,Tamil Nadu,333,302,19,9,10,50,90.2
2017-01-30,2017,1,5,Ariyalur,Tamil Nadu,333,282,20,5,19,54,81.0
2017-02-06,2017,2,6,Ariyalur,Tamil Nadu,333,279,17,3,18,25,81.5
2017-02-13,2017,2,7,Ariyalur,Tamil Nadu,333,282,13,7,18,25,88.4
2017-02-20,2017,2,8,Ariyalur,Tamil Nadu,333,255,23,3,10,26,75.8
2017-02-27,2017,2,9,Ariyalur,Tamil Nadu,333,252,24,4,11,15,80.1
2017-03-06,2017,3,10,Ariyalur,Tamil Nadu,333,228,22,6,9,14,68.5
2017-03-13,2017,3,11,Ariyalur,Tamil Nadu,333,273,6,11,10,22,82.8
2017-03-20,2017,3,12,Ariyalur,Tamil Nadu,333,254,12,9,18,17,80.2
2017-03-27,2017,3,13,Ariyalur,Tamil Nadu,333,226,24,10,8,21,73.4
2017-04-03,2017,4,14,Ariyalur,Tamil Nadu,333,257,22,41,7,10,79.1
2017-04-10,2017,4,15,Ariyalur,Tamil Nadu,333,278,24,38,10,26,83.0
2017-04-17,2017,4,16,Ariyalur,Tamil Nadu,333,358,23,58,8,16,100.0
2017-04-24,2017,4,17,Ariyalur,Tamil Nadu,333,298,11,58,7,13,88.9
2017-05-01,2017,5,18,Ariyalur,Tamil Nadu,333,268,24,31,18,20,82.5
2017-05-08,2017,5,19,Ariyalur,Tamil Nadu,333,295,21,51,15,11,84.9
2017-05-15,2017,5,20,Ariyalur,Tamil Nadu,333,286,17,59,12,16,92.1
2017-05-22,2017,5,21,Ariyalur,Tamil Nadu,333,265,9,48,10,25,80.8
2017-05-29,2017,5,22,Ariyalur,Tamil Nadu,333,244,14,31,8,16,73.0
2017-06-05,2017,6,23,Ariyalur,Tamil Nadu,333,295,9,8,37,19,84.2
2017-06-12,2017,6,24,Ariyalur,Tamil Nadu,333,315,14,6,39,13,91.1
2017-06-19,2017,6,25,Ariyalur,Tamil Nadu,333,301,9,5,29,17,86.9
2017-06-26,2017,6,26,Ariyalur,Tamil Nadu,333,287,8,4,38,13,88.6
2017-07-03,2017,7,27,Ariyalur,Tamil Nadu,333,286,25,6,36,25,80.5
2017-07-10,2017,7,28,Ariyalur,Tamil Nadu,333,264,20,12,45,17,79.1
2017-07-17,2017,7,29,Ariyalur,Tamil Nadu,333,278,8,6,28,22,79.3
2017-07-24,2017,7,30,Ariyalur,Tamil Nadu,333,294,6,10,32,23,90.1
2017-07-31,2017,7,31,Ariyalur,Tamil Nadu,333,310,13,4,48,17,92.1
2017-08-07,2017,8,32,Ariyalur,Tamil Nadu,333,311,23,8,19,20,88.8
2017-08-14,2017,8,33,Ariyalur,Tamil Nadu,333,241,19,4,9,20,69.0
2017-08-21,2017,8,34,Ariyalur,Tamil Nadu,333,274,14,9,16,12,83.7
2017-08-28,2017,8,35,Ariyalur,Tamil Nadu,333,289,11,9,8,21,82.5
2017-09-04,2017,9,36,Ariyalur,Tamil Nadu,333,308,20,12,12,14,87.0
2017-09-11,2017,9,37,Ariyalur,Tamil Nadu,333,272,10,11,18,17,80.4
2017-09-18,2017,9,38,Ariyalur,Tamil Nadu,333,227,12,10,9,14,69.1
2017-09-25,2017,9,39,Ariyalur,Tamil Nadu,333,242,23,13,19,10,78.2
2017-10-02,2017,10,40,Ariyalur,Tamil Nadu,333,289,61,11,8,20,86.3
2017-10-09,2017,10,41,Ariyalur,Tamil Nadu,333,292,57,3,17,20,90.3
2017-10-16,2017,10,42,Ariyalur,Tamil Nadu,333,305,58,13,15,21,95.8
2017-10-23,2017,10,43,Ariyalur,Tamil Nadu,333,290,53,6,7,26,81.0
2017-10-30,2017,10,44,Ariyalur,Tamil Nadu,333,287,69,8,8,13,80.7
2017-11-06,2017,11,45,Ariyalur,Tamil Nadu,333,343,77,11,17,19,100.0
2017-11-13,2017,11,46,Ariyalur,Tamil Nadu,333,306,64,11,16,18,89.3
2017-11-20,2017,11,47,Ariyalur,Tamil Nadu,333,304,77,4,7,10,89.5
2017-11-27,2017,11,48,Ariyalur,Tamil Nadu,333,338,83,9,13,11,96.0
2017-12-04,2017,12,49,Ariyalur,Tamil Nadu,333,346,79,5,14,56,100.0
2017-12-11,2017,12,50,Ariyalur,Tamil Nadu,333,336,73,7,18,47,100.0
2017-12-18,2017,12,51,Ariyalur,Tamil Nadu,333,337,90,10,12,44,100.0
2017-12-25,2017,12,52,Ariyalur,Tamil Nadu,333,359,58,13,7,48,100.0
2018-01-01,2018,1,1,Ariyalur,Tamil Nadu,333,304,24,11,14,44,96.8
2018-01-08,2018,1,2,Ariyalur,Tamil Nadu,333,286,8,6,9,33,82.3
2018-01-15,2018,1,3,Ariyalur,Tamil Nadu,333,290,21,7,11,46,92.0
2018-01-22,2018,1,4,Ariyalur,Tamil Nadu,333,307,19,9,15,48,93.8
2018-01-29,2018,1,5,Ariyalur,Tamil Nadu,333,273,17,5,14,36,81.9
2018-02-05,2018,2,6,Ariyalur,Tamil Nadu,333,249,13,3,15,18,76.8
2018-02-12,2018,2,7,Ariyalur,Tamil Nadu,333,231,9,7,9,25,73.7
2018-02-19,2018,2,8,Ariyalur,Tamil Nadu,333,226,23,10,15,11,72.0
2018-02-26,2018,2,9,Ariyalur,Tamil Nadu,333,230,21,4,16,14,72.1
2018-03-05,2018,3,10,Ariyalur,Tamil Nadu,333,267,17,4,19,15,81.2
2018-03-12,2018,3,11,Ariyalur,Tamil Nadu,333,248,12,3,12,13,69.3
2018-03-19,2018,3,12,Ariyalur,Tamil Nadu,333,273,13,9,19,23,80.4
2018-03-26,2018,3,13,Ariyalur,Tamil Nadu,333,250,16,8,10,24,71.6
2018-04-02,2018,4,14,Ariyalur,Tamil Nadu,333,260,9,33,19,17,77.5
2018-04-09,2018,4,15,Ariyalur,Tamil Nadu,333,312,14,54,18,26,89.0
2018-04-16,2018,4,16,Ariyalur,Tamil Nadu,333,309,24,56,13,11,86.6
2018-04-23,2018,4,17,Ariyalur,Tamil Nadu,333,252,19,27,11,17,79.0
2018-04-30,2018,4,18,Ariyalur,Tamil Nadu,333,296,21,27,13,20,93.0
2018-05-07,2018,5,19,Ariyalur,Tamil Nadu,333,279,18,36,7,21,85.3
2018-05-14,2018,5,20,Ariyalur,Tamil Nadu,333,280,6,46,16,16,82.6
2018-05-21,2018,5,21,Ariyalur,Tamil Nadu,333,327,25,57,10,18,96.8
2018-05-28,2018,5,22,Ariyalur,Tamil Nadu,333,247,8,44,7,14,79.2
2018-06-04,2018,6,23,Ariyalur,Tamil Nadu,333,238,6,3,28,16,74.6
2018-06-11,2018,6,24,Ariyalur,Tamil Nadu,333,315,8,9,46,12,92.5
2018-06-18,2018,6,25,Ariyalur,Tamil Nadu,333,304,18,6,47,14,88.9
2018-06-25,2018,6,26,Ariyalur,Tamil Nadu,333,262,24,12,32,17,84.0
2018-07-02,2018,7,27,Ariyalur,Tamil Nadu,333,291,8,11,46,22,85.5
2018-07-09,2018,7,28,Ariyalur,Tamil Nadu,333,291,14,3,26,22,82.3
2018-07-16,2018,7,29,Ariyalur,Tamil Nadu,333,279,25,6,47,12,85.3
2018-07-23,2018,7,30,Ariyalur,Tamil Nadu,333,286,22,10,39,19,88.3
2018-07-30,2018,7,31,Ariyalur,Tamil Nadu,333,309,17,13,45,17,93.5
2018-08-06,2018,8,32,Ariyalur,Tamil Nadu,333,280,19,3,15,17,84.5
2018-08-13,2018,8,33,Ariyalur,Tamil Nadu,333,272,8,12,12,24,82.2
2018-08-20,2018,8,34,Ariyalur,Tamil Nadu,333,299,18,5,12,15,84.7
2018-08-27,2018,8,35,Ariyalur,Tamil Nadu,333,249,18,4,19,25,78.2
2018-09-03,2018,9,36,Ariyalur,Tamil Nadu,333,236,17,9,8,24,70.7
2018-09-10,2018,9,37,Ariyalur,Tamil Nadu,333,230,20,6,9,17,72.5
2018-09-17,2018,9,38,Ariyalur,Tamil Nadu,333,272,14,3,17,22,86.3
2018-09-24,2018,9,39,Ariyalur,Tamil Nadu,333,261,16,6,9,14,73.2
2018-10-01,2018,10,40,Ariyalur,Tamil Nadu,333,309,78,11,9,10,91.6
2018-10-08,2018,10,41,Ariyalur,Tamil Nadu,333,353,90,5,16,20,100.0
2018-10-15,2018,10,42,Ariyalur,Tamil Nadu,333,328,74,5,11,21,98.5
2018-10-22,2018,10,43,Ariyalur,Tamil Nadu,333,312,65,5,13,17,96.6
2018-10-29,2018,10,44,Ariyalur,Tamil Nadu,333,263,70,6,14,15,85.2
2018-11-05,2018,11,45,Ariyalur,Tamil Nadu,333,344,52,10,12,24,97.6
2018-11-12,2018,11,46,Ariyalur,Tamil Nadu,333,282,90,3,8,19,88.1
2018-11-19,2018,11,47,Ariyalur,Tamil Nadu,333,267,52,5,19,10,79.2
2018-11-26,2018,11,48,Ariyalur,Tamil Nadu,333,299,66,5,6,25,88.6
2018-12-03,2018,12,49,Ariyalur,Tamil Nadu,333,337,52,12,8,61,100.0
2018-12-10,2018,12,50,Ariyalur,Tamil Nadu,333,321,80,7,19,66,100.0
2018-12-17,2018,12,51,Ariyalur,Tamil Nadu,333,350,81,10,11,61,100.0
2018-12-24,2018,12,52,Ariyalur,Tamil Nadu,333,348,76,5,11,45,100.0
2018-12-31,2018,12,1,Ariyalur,Tamil Nadu,333,316,50,5,15,45,96.4
2019-01-07,2019,1,2,Ariyalur,Tamil Nadu,333,278,15,9,10,51,80.7
2019-01-14,2019,1,3,Ariyalur,Tamil Nadu,333,251,9,12,8,53,78.2
2019-01-21,2019,1,4,Ariyalur,Tamil Nadu,333,289,24,12,6,63,91.5
2019-01-28,2019,1,5,Ariyalur,Tamil Nadu,333,339,23,12,13,47,95.0
2019-02-04,2019,2,6,Ariyalur,Tamil Nadu,333,244,12,13,10,14,79.1
2019-02-11,2019,2,7,Ariyalur,Tamil Nadu,333,268,14,8,14,21,83.6
2019-02-18,2019,2,8,Ariyalur,Tamil Nadu,333,274,7,4,13,24,84.7
2019-02-25,2019,2,9,Ariyalur,Tamil Nadu,333,265,19,12,11,26,84.0
2019-03-04,2019,3,10,Ariyalur,Tamil Nadu,333,272,15,4,15,14,79.2
2019-03-11,2019,3,11,Ariyalur,Tamil Nadu,333,226,17,7,14,11,66.9
2019-03-18,2019,3,12,Ariyalur,Tamil Nadu,333,217,17,3,11,20,68.4
2019-03-25,2019,3,13,Ariyalur,Tamil Nadu,333,220,12,3,10,14,66.4
2019-04-01,2019,4,14,Ariyalur,Tamil Nadu,333,270,11,42,12,10,84.1
2019-04-08,2019,4,15,Ariyalur,Tamil Nadu,333,342,23,57,9,15,96.4
2019-04-15,2019,4,16,Ariyalur,Tamil Nadu,333,265,9,45,11,25,86.0
2019-04-22,2019,4,17,Ariyalur,Tamil Nadu,333,277,22,56,6,10,79.0
2019-04-29,2019,4,18,Ariyalur,Tamil Nadu,333,279,18,36,8,12,91.1
2019-05-06,2019,5,19,Ariyalur,Tamil Nadu,333,288,18,42,11,22,91.5
2019-05-13,2019,5,20,Ariyalur,Tamil Nadu,333,329,21,55,19,25,100.0
2019-05-20,2019,5,21,Ariyalur,Tamil Nadu,333,297,12,54,11,14,93.9
2019-05-27,2019,5,22,Ariyalur,Tamil Nadu,333,254,8,43,6,24,74.9
2019-06-03,2019,6,23,Ariyalur,Tamil Nadu,333,263,18,7,39,15,77.1
2019-06-10,2019,6,24,Ariyalur,Tamil Nadu,333,253,20,3,29,25,74.3
2019-06-17,2019,6,25,Ariyalur,Tamil Nadu,333,302,11,13,46,21,87.9
2019-06-24,2019,6,26,Ariyalur,Tamil Nadu,333,285,18,10,46,16,92.9
2019-07-01,2019,7,27,Ariyalur,Tamil Nadu,333,289,25,7,44,10,90.5
2019-07-08,2019,7,28,Ariyalur,Tamil Nadu,333,230,22,5,31,16,73.7
2019-07-15,2019,7,29,Ariyalur,Tamil Nadu,333,268,24,5,29,14,81.3
2019-07-22,2019,7,30,Ariyalur,Tamil Nadu,333,278,20,10,42,19,83.8
2019-07-29,2019,7,31,Ariyalur,Tamil Nadu,333,316,25,4,44,10,88.2
2019-08-05,2019,8,32,Ariyalur,Tamil Nadu,333,256,16,4,18,16,74.1
2019-08-12,2019,8,33,Ariyalur,Tamil Nadu,333,278,13,12,13,20,80.5
2019-08-19,2019,8,34,Ariyalur,Tamil Nadu,333,288,25,3,12,12,84.9
2019-08-26,2019,8,35,Ariyalur,Tamil Nadu,333,286,18,3,18,19,87.5
2019-09-02,2019,9,36,Ariyalur,Tamil Nadu,333,235,25,3,18,10,73.3
2019-09-09,2019,9,37,Ariyalur,Tamil Nadu,333,260,25,5,18,22,82.6
2019-09-16,2019,9,38,Ariyalur,Tamil Nadu,333,228,15,7,14,15,69.0
2019-09-23,2019,9,39,Ariyalur,Tamil Nadu,333,251,6,11,19,15,72.6
2019-09-30,2019,9,40,Ariyalur,Tamil Nadu,333,237,9,6,16,26,75.6
2019-10-07,2019,10,41,Ariyalur,Tamil Nadu,333,333,70,8,19,26,100.0
2019-10-14,2019,10,42,Ariyalur,Tamil Nadu,333,329,70,9,9,21,98.6
2019-10-21,2019,10,43,Ariyalur,Tamil Nadu,333,310,76,6,15,16,92.2
2019-10-28,2019,10,44,Ariyalur,Tamil Nadu,333,282,51,7,11,25,91.3
2019-11-04,2019,11,45,Ariyalur,Tamil Nadu,333,308,71,7,8,24,100.0
2019-11-11,2019,11,46,Ariyalur,Tamil Nadu,333,358,73,9,11,25,100.0
2019-11-18,2019,11,47,Ariyalur,Tamil Nadu,333,304,91,6,10,18,91.6
2019-11-25,2019,11,48,Ariyalur,Tamil Nadu,333,308,86,4,16,24,94.0
2019-12-02,2019,12,49,Ariyalur,Tamil Nadu,333,353,94,7,13,44,100.0
2019-12-09,2019,12,50,Ariyalur,Tamil Nadu,333,353,99,8,16,45,100.0
2019-12-16,2019,12,51,Ariyalur,Tamil Nadu,333,354,59,10,8,62,100.0
2019-12-23,2019,12,52,Ariyalur,Tamil Nadu,333,321,97,3,13,65,100.0
2019-12-30,2019,12,1,Ariyalur,Tamil Nadu,333,284,55,7,12,52,90.1
2020-01-06,2020,1,2,Ariyalur,Tamil Nadu,333,301,11,6,18,38,89.4
2020-01-13,2020,1,3,Ariyalur,Tamil Nadu,333,269,15,8,8,44,83.7
2020-01-20,2020,1,4,Ariyalur,Tamil Nadu,333,286,19,12,9,35,89.3
2020-01-27,2020,1,5,Ariyalur,Tamil Nadu,333,250,13,12,19,34,80.4
2020-02-03,2020,2,6,Ariyalur,Tamil Nadu,333,240,22,8,14,12,70.9
2020-02-10,2020,2,7,Ariyalur,Tamil Nadu,333,221,22,10,7,10,67.5
2020-02-17,2020,2,8,Ariyalur,Tamil Nadu,333,231,21,10,9,13,69.6
2020-02-24,2020,2,9,Ariyalur,Tamil Nadu,333,297,19,7,18,21,89.0
2020-03-02,2020,3,10,Ariyalur,Tamil Nadu,333,249,24,12,11,19,71.7
2020-03-09,2020,3,11,Ariyalur,Tamil Nadu,333,206,8,7,17,17,66.6
2020-03-16,2020,3,12,Ariyalur,Tamil Nadu,333,266,7,12,17,23,86.3
2020-03-23,2020,3,13,Ariyalur,Tamil Nadu,333,291,23,10,11,22,88.5
2020-03-30,2020,3,14,Ariyalur,Tamil Nadu,333,249,16,8,9,24,74.2
2020-04-06,2020,4,15,Ariyalur,Tamil Nadu,333,302,11,44,12,16,92.7
2020-04-13,2020,4,16,Ariyalur,Tamil Nadu,333,255,9,41,9,13,80.8
2020-04-20,2020,4,17,Ariyalur,Tamil Nadu,333,313,12,52,19,25,100.0
2020-04-27,2020,4,18,Ariyalur,Tamil Nadu,333,290,9,50,8,19,83.4
2020-05-04,2020,5,19,Ariyalur,Tamil Nadu,333,285,20,36,11,15,93.0
2020-05-11,2020,5,20,Ariyalur,Tamil Nadu,333,278,25,28,14,22,82.6
2020-05-18,2020,5,21,Ariyalur,Tamil Nadu,333,314,12,33,10,23,93.5
2020-05-25,2020,5,22,Ariyalur,Tamil Nadu,333,269,10,32,8,21,79.5
2020-06-01,2020,6,23,Ariyalur,Tamil Nadu,333,235,12,8,33,10,69.7
2020-06-08,2020,6,24,Ariyalur,Tamil Nadu,333,281,12,12,31,18,82.7
2020-06-15,2020,6,25,Ariyalur,Tamil Nadu,333,289,16,5,44,22,91.5
2020-06-22,2020,6,26,Ariyalur,Tamil Nadu,333,243,14,10,37,10,75.2
2020-06-29,2020,6,27,Ariyalur,Tamil Nadu,333,290,9,4,39,24,91.9
2020-07-06,2020,7,28,Ariyalur,Tamil Nadu,333,282,24,9,31,16,84.9
2020-07-13,2020,7,29,Ariyalur,Tamil Nadu,333,314,21,6,43,23,93.1
2020-07-20,2020,7,30,Ariyalur,Tamil Nadu,333,279,12,5,40,25,88.8
2020-07-27,2020,7,31,Ariyalur,Tamil Nadu,333,262,9,13,47,12,80.0
2020-08-03,2020,8,32,Ariyalur,Tamil Nadu,333,257,25,8,16,17,77.8
2020-08-10,2020,8,33,Ariyalur,Tamil Nadu,333,234,14,3,14,22,67.1
2020-08-17,2020,8,34,Ariyalur,Tamil Nadu,333,254,16,6,16,24,74.7
2020-08-24,2020,8,35,Ariyalur,Tamil Nadu,333,289,21,6,8,25,84.2
2020-08-31,2020,8,36,Ariyalur,Tamil Nadu,333,274,21,11,11,17,80.5
2020-09-07,2020,9,37,Ariyalur,Tamil Nadu,333,284,14,3,14,21,80.8
2020-09-14,2020,9,38,Ariyalur,Tamil Nadu,333,304,21,4,18,21,85.2
2020-09-21,2020,9,39,Ariyalur,Tamil Nadu,333,255,16,6,13,11,77.4
2020-09-28,2020,9,40,Ariyalur,Tamil Nadu,333,269,14,10,18,16,84.5
