date,year,month,week_number,day_of_year,district,state,min_temperature_c
2015-01-04,2015,1,1,4,Namakkal,Tamil Nadu,22.3
2015-01-04,2015,1,1,4,Karur,Tamil Nadu,22.39
2015-01-04,2015,1,1,4,Cuddalore,Tamil Nadu,23.49
2015-01-04,2015,1,1,4,Nagapattinam,Tamil Nadu,23.38
2015-01-04,2015,1,1,4,Virudhunagar,Tamil Nadu,21.22
2015-01-04,2015,1,1,4,Sivagangai,Tamil Nadu,21.41
2015-01-04,2015,1,1,4,Ramanathapuram,Tamil Nadu,21.41
2015-01-04,2015,1,1,4,Tiruppur,Tamil Nadu,17.53
2015-01-05,2015,1,2,5,Chennai,Tamil Nadu,22.05
2015-01-05,2015,1,2,5,Coimbatore,Tamil Nadu,16.19
2015-01-05,2015,1,2,5,Madurai,Tamil Nadu,21.75
2015-01-05,2015,1,2,5,Salem,Tamil Nadu,21.96
2015-01-05,2015,1,2,5,Trichy,Tamil Nadu,22.55
2015-01-05,2015,1,2,5,Tirunelveli,Tamil Nadu,23.23
2015-01-05,2015,1,2,5,Erode,Tamil Nadu,17.3
2015-01-05,2015,1,2,5,Vellore,Tamil Nadu,21.66
2015-01-05,2015,1,2,5,Thoothukudi,Tamil Nadu,23.46
2015-01-05,2015,1,2,5,Thanjavur,Tamil Nadu,23.27
2015-01-05,2015,1,2,5,Dindigul,Tamil Nadu,18.77
2015-01-05,2015,1,2,5,Kanyakumari,Tamil Nadu,23.23
2015-01-05,2015,1,2,5,Namakkal,Tamil Nadu,21.96
2015-01-05,2015,1,2,5,Karur,Tamil Nadu,22.55
2015-01-05,2015,1,2,5,Cuddalore,Tamil Nadu,23.31
2015-01-05,2015,1,2,5,Nagapattinam,Tamil Nadu,23.27
2015-01-05,2015,1,2,5,Virudhunagar,Tamil Nadu,21.93
2015-01-05,2015,1,2,5,Sivagangai,Tamil Nadu,21.75
2015-01-05,2015,1,2,5,Ramanathapuram,Tamil Nadu,21.75
2015-01-05,2015,1,2,5,Tiruppur,Tamil Nadu,17.3
2015-01-06,2015,1,2,6,Chennai,Tamil Nadu,21.92
2015-01-06,2015,1,2,6,Coimbatore,Tamil Nadu,16.77
2015-01-06,2015,1,2,6,Madurai,Tamil Nadu,21.32
2015-01-06,2015,1,2,6,Salem,Tamil Nadu,21.53
2015-01-06,2015,1,2,6,Trichy,Tamil Nadu,22.11
2015-01-06,2015,1,2,6,Tirunelveli,Tamil Nadu,22.92
2015-01-06,2015,1,2,6,Erode,Tamil Nadu,17.54
2015-01-06,2015,1,2,6,Vellore,Tamil Nadu,21.55
2015-01-06,2015,1,2,6,Thoothukudi,Tamil Nadu,23.06
2015-01-06,2015,1,2,6,Thanjavur,Tamil Nadu,22.93
2015-01-06,2015,1,2,6,Dindigul,Tamil Nadu,18.83
2015-01-06,2015,1,2,6,Kanyakumari,Tamil Nadu,22.92
2015-01-06,2015,1,2,6,Namakkal,Tamil Nadu,21.53
2015-01-06,2015,1,2,6,Karur,Tamil Nadu,22.11
2015-01-06,2015,1,2,6,Cuddalore,Tamil Nadu,22.89
2015-01-06,2015,1,2,6,Nagapattinam,Tamil Nadu,22.93
2015-01-06,2015,1,2,6,Virudhunagar,Tamil Nadu,21.5
2015-01-06,2015,1,2,6,Sivagangai,Tamil Nadu,21.32
2015-01-06,2015,1,2,6,Ramanathapuram,Tamil Nadu,21.32
2015-01-06,2015,1,2,6,Tiruppur,Tamil Nadu,17.54
2015-01-07,2015,1,2,7,Chennai,Tamil Nadu,21.18
2015-01-07,2015,1,2,7,Coimbatore,Tamil Nadu,15.99
2015-01-07,2015,1,2,7,Madurai,Tamil Nadu,20.75
2015-01-07,2015,1,2,7,Salem,Tamil Nadu,20.44
2015-01-07,2015,1,2,7,Trichy,Tamil Nadu,21.02
2015-01-07,2015,1,2,7,Tirunelveli,Tamil Nadu,22.62
2015-01-07,2015,1,2,7,Erode,Tamil Nadu,16.98
2015-01-07,2015,1,2,7,Vellore,Tamil Nadu,20.83
2015-01-07,2015,1,2,7,Thoothukudi,Tamil Nadu,22.62
2015-01-07,2015,1,2,7,Thanjavur,Tamil Nadu,21.88
2015-01-07,2015,1,2,7,Dindigul,Tamil Nadu,18.17
2015-01-07,2015,1,2,7,Kanyakumari,Tamil Nadu,22.62
2015-01-07,2015,1,2,7,Namakkal,Tamil Nadu,20.44
2015-01-07,2015,1,2,7,Karur,Tamil Nadu,21.02
2015-01-07,2015,1,2,7,Cuddalore,Tamil Nadu,21.93
2015-01-07,2015,1,2,7,Nagapattinam,Tamil Nadu,21.88
2015-01-07,2015,1,2,7,Virudhunagar,Tamil Nadu,21.23
2015-01-07,2015,1,2,7,Sivagangai,Tamil Nadu,20.75
2015-01-07,2015,1,2,7,Ramanathapuram,Tamil Nadu,20.75
2015-01-07,2015,1,2,7,Tiruppur,Tamil Nadu,16.98
2015-01-08,2015,1,2,8,Chennai,Tamil Nadu,21.08
2015-01-08,2015,1,2,8,Coimbatore,Tamil Nadu,17.07
2015-01-08,2015,1,2,8,Madurai,Tamil Nadu,20.96
2015-01-08,2015,1,2,8,Salem,Tamil Nadu,21.03
2015-01-08,2015,1,2,8,Trichy,Tamil Nadu,21.47
2015-01-08,2015,1,2,8,Tirunelveli,Tamil Nadu,23.0
2015-01-08,2015,1,2,8,Erode,Tamil Nadu,17.76
2015-01-08,2015,1,2,8,Vellore,Tamil Nadu,20.96
2015-01-08,2015,1,2,8,Thoothukudi,Tamil Nadu,22.84
2015-01-08,2015,1,2,8,Thanjavur,Tamil Nadu,22.08
2015-01-08,2015,1,2,8,Dindigul,Tamil Nadu,18.83
2015-01-08,2015,1,2,8,Kanyakumari,Tamil Nadu,23.0
2015-01-08,2015,1,2,8,Namakkal,Tamil Nadu,21.03
2015-01-08,2015,1,2,8,Karur,Tamil Nadu,21.47
2015-01-08,2015,1,2,8,Cuddalore,Tamil Nadu,22.14
2015-01-08,2015,1,2,8,Nagapattinam,Tamil Nadu,22.08
2015-01-08,2015,1,2,8,Virudhunagar,Tamil Nadu,21.93
2015-01-08,2015,1,2,8,Sivagangai,Tamil Nadu,20.96
2015-01-08,2015,1,2,8,Ramanathapuram,Tamil Nadu,20.96
2015-01-08,2015,1,2,8,Tiruppur,Tamil Nadu,17.76
2015-01-09,2015,1,2,9,Chennai,Tamil Nadu,21.47
2015-01-09,2015,1,2,9,Coimbatore,Tamil Nadu,17.32
2015-01-09,2015,1,2,9,Madurai,Tamil Nadu,21.5
2015-01-09,2015,1,2,9,Salem,Tamil Nadu,22.12
2015-01-09,2015,1,2,9,Trichy,Tamil Nadu,22.11
2015-01-09,2015,1,2,9,Tirunelveli,Tamil Nadu,23.25
2015-01-09,2015,1,2,9,Erode,Tamil Nadu,18.15
2015-01-09,2015,1,2,9,Vellore,Tamil Nadu,21.96
2015-01-09,2015,1,2,9,Thoothukudi,Tamil Nadu,23.2
2015-01-09,2015,1,2,9,Thanjavur,Tamil Nadu,22.95
2015-01-09,2015,1,2,9,Dindigul,Tamil Nadu,19.06
2015-01-09,2015,1,2,9,Kanyakumari,Tamil Nadu,23.25
2015-01-09,2015,1,2,9,Namakkal,Tamil Nadu,22.12
2015-01-09,2015,1,2,9,Karur,Tamil Nadu,22.11
2015-01-09,2015,1,2,9,Cuddalore,Tamil Nadu,23.14
2015-01-09,2015,1,2,9,Nagapattinam,Tamil Nadu,22.95
2015-01-09,2015,1,2,9,Virudhunagar,Tamil Nadu,22.16
2015-01-09,2015,1,2,9,Sivagangai,Tamil Nadu,21.5
2015-01-09,2015,1,2,9,Ramanathapuram,Tamil Nadu,21.5
2015-01-09,2015,1,2,9,Tiruppur,Tamil Nadu,18.15
2015-01-10,2015,1,2,10,Chennai,Tamil Nadu,19.16
2015-01-10,2015,1,2,10,Coimbatore,Tamil Nadu,16.44
2015-01-10,2015,1,2,10,Madurai,Tamil Nadu,20.98
2015-01-10,2015,1,2,10,Salem,Tamil Nadu,20.65
2015-01-10,2015,1,2,10,Trichy,Tamil Nadu,21.63
2015-01-10,2015,1,2,10,Tirunelveli,Tamil Nadu,22.98
2015-01-10,2015,1,2,10,Erode,Tamil Nadu,17.27
2015-01-10,2015,1,2,10,Vellore,Tamil Nadu,19.73
2015-01-10,2015,1,2,10,Thoothukudi,Tamil Nadu,22.84
2015-01-10,2015,1,2,10,Thanjavur,Tamil Nadu,22.1
2015-01-10,2015,1,2,10,Dindigul,Tamil Nadu,18.5
2015-01-10,2015,1,2,10,Kanyakumari,Tamil Nadu,22.98
2015-01-10,2015,1,2,10,Namakkal,Tamil Nadu,20.65
2015-01-10,2015,1,2,10,Karur,Tamil Nadu,21.63
2015-01-10,2015,1,2,10,Cuddalore,Tamil Nadu,21.84
2015-01-10,2015,1,2,10,Nagapattinam,Tamil Nadu,22.1
2015-01-10,2015,1,2,10,Virudhunagar,Tamil Nadu,21.7
2015-01-10,2015,1,2,10,Sivagangai,Tamil Nadu,20.98
2015-01-10,2015,1,2,10,Ramanathapuram,Tamil Nadu,20.98
2015-01-10,2015,1,2,10,Tiruppur,Tamil Nadu,17.27
2015-01-11,2015,1,2,11,Chennai,Tamil Nadu,17.66
2015-01-11,2015,1,2,11,Coimbatore,Tamil Nadu,14.57
2015-01-11,2015,1,2,11,Madurai,Tamil Nadu,19.37
2015-01-11,2015,1,2,11,Salem,Tamil Nadu,17.98
2015-01-11,2015,1,2,11,Trichy,Tamil Nadu,19.45
2015-01-11,2015,1,2,11,Tirunelveli,Tamil Nadu,21.89
2015-01-11,2015,1,2,11,Erode,Tamil Nadu,15.32
2015-01-11,2015,1,2,11,Vellore,Tamil Nadu,17.28
2015-01-11,2015,1,2,11,Thoothukudi,Tamil Nadu,21.39
2015-01-11,2015,1,2,11,Thanjavur,Tamil Nadu,19.92
2015-01-11,2015,1,2,11,Dindigul,Tamil Nadu,16.84
2015-01-11,2015,1,2,11,Kanyakumari,Tamil Nadu,21.89
2015-01-11,2015,1,2,11,Namakkal,Tamil Nadu,17.98
2015-01-11,2015,1,2,11,Karur,Tamil Nadu,19.45
2015-01-11,2015,1,2,11,Cuddalore,Tamil Nadu,19.99
2015-01-11,2015,1,2,11,Nagapattinam,Tamil Nadu,19.92
2015-01-11,2015,1,2,11,Virudhunagar,Tamil Nadu,20.19
2015-01-11,2015,1,2,11,Sivagangai,Tamil Nadu,19.37
2015-01-11,2015,1,2,11,Ramanathapuram,Tamil Nadu,19.37
2015-01-11,2015,1,2,11,Tiruppur,Tamil Nadu,15.32
2015-01-12,2015,1,3,12,Chennai,Tamil Nadu,17.88
2015-01-12,2015,1,3,12,Coimbatore,Tamil Nadu,14.4
2015-01-12,2015,1,3,12,Madurai,Tamil Nadu,18.87
2015-01-12,2015,1,3,12,Salem,Tamil Nadu,18.07
2015-01-12,2015,1,3,12,Trichy,Tamil Nadu,19.25
2015-01-12,2015,1,3,12,Tirunelveli,Tamil Nadu,20.89
2015-01-12,2015,1,3,12,Erode,Tamil Nadu,15.14
2015-01-12,2015,1,3,12,Vellore,Tamil Nadu,17.69
2015-01-12,2015,1,3,12,Thoothukudi,Tamil Nadu,20.74
2015-01-12,2015,1,3,12,Thanjavur,Tamil Nadu,19.83
2015-01-12,2015,1,3,12,Dindigul,Tamil Nadu,16.35
2015-01-12,2015,1,3,12,Kanyakumari,Tamil Nadu,20.89
2015-01-12,2015,1,3,12,Namakkal,Tamil Nadu,18.07
2015-01-12,2015,1,3,12,Karur,Tamil Nadu,19.25
2015-01-12,2015,1,3,12,Cuddalore,Tamil Nadu,19.95
2015-01-12,2015,1,3,12,Nagapattinam,Tamil Nadu,19.83
2015-01-12,2015,1,3,12,Virudhunagar,Tamil Nadu,19.26
2015-01-12,2015,1,3,12,Sivagangai,Tamil Nadu,18.87
2015-01-12,2015,1,3,12,Ramanathapuram,Tamil Nadu,18.87
2015-01-12,2015,1,3,12,Tiruppur,Tamil Nadu,15.14
2015-01-13,2015,1,3,13,Chennai,Tamil Nadu,17.51
2015-01-13,2015,1,3,13,Coimbatore,Tamil Nadu,13.82
2015-01-13,2015,1,3,13,Madurai,Tamil Nadu,18.35
2015-01-13,2015,1,3,13,Salem,Tamil Nadu,17.52
2015-01-13,2015,1,3,13,Trichy,Tamil Nadu,18.66
2015-01-13,2015,1,3,13,Tirunelveli,Tamil Nadu,20.33
2015-01-13,2015,1,3,13,Erode,Tamil Nadu,14.24
2015-01-13,2015,1,3,13,Vellore,Tamil Nadu,17.09
2015-01-13,2015,1,3,13,Thoothukudi,Tamil Nadu,20.26
2015-01-13,2015,1,3,13,Thanjavur,Tamil Nadu,19.26
2015-01-13,2015,1,3,13,Dindigul,Tamil Nadu,15.96
2015-01-13,2015,1,3,13,Kanyakumari,Tamil Nadu,20.33
2015-01-13,2015,1,3,13,Namakkal,Tamil Nadu,17.52
2015-01-13,2015,1,3,13,Karur,Tamil Nadu,18.66
2015-01-13,2015,1,3,13,Cuddalore,Tamil Nadu,19.28
2015-01-13,2015,1,3,13,Nagapattinam,Tamil Nadu,19.26
2015-01-13,2015,1,3,13,Virudhunagar,Tamil Nadu,18.6
2015-01-13,2015,1,3,13,Sivagangai,Tamil Nadu,18.35
2015-01-13,2015,1,3,13,Ramanathapuram,Tamil Nadu,18.35
2015-01-13,2015,1,3,13,Tiruppur,Tamil Nadu,14.24
2015-01-14,2015,1,3,14,Chennai,Tamil Nadu,18.07
2015-01-14,2015,1,3,14,Coimbatore,Tamil Nadu,14.14
2015-01-14,2015,1,3,14,Madurai,Tamil Nadu,19.35
2015-01-14,2015,1,3,14,Salem,Tamil Nadu,18.72
2015-01-14,2015,1,3,14,Trichy,Tamil Nadu,19.79
2015-01-14,2015,1,3,14,Tirunelveli,Tamil Nadu,21.17
2015-01-14,2015,1,3,14,Erode,Tamil Nadu,15.06
2015-01-14,2015,1,3,14,Vellore,Tamil Nadu,17.62
2015-01-14,2015,1,3,14,Thoothukudi,Tamil Nadu,21.12
2015-01-14,2015,1,3,14,Thanjavur,Tamil Nadu,20.54
2015-01-14,2015,1,3,14,Dindigul,Tamil Nadu,16.88
2015-01-14,2015,1,3,14,Kanyakumari,Tamil Nadu,21.17
2015-01-14,2015,1,3,14,Namakkal,Tamil Nadu,18.72
2015-01-14,2015,1,3,14,Karur,Tamil Nadu,19.79
2015-01-14,2015,1,3,14,Cuddalore,Tamil Nadu,20.67
2015-01-14,2015,1,3,14,Nagapattinam,Tamil Nadu,20.54
2015-01-14,2015,1,3,14,Virudhunagar,Tamil Nadu,19.61
2015-01-14,2015,1,3,14,Sivagangai,Tamil Nadu,19.35
2015-01-14,2015,1,3,14,Ramanathapuram,Tamil Nadu,19.35
2015-01-14,2015,1,3,14,Tiruppur,Tamil Nadu,15.06
2015-01-15,2015,1,3,15,Chennai,Tamil Nadu,18.14
2015-01-15,2015,1,3,15,Coimbatore,Tamil Nadu,13.95
2015-01-15,2015,1,3,15,Madurai,Tamil Nadu,18.91
2015-01-15,2015,1,3,15,Salem,Tamil Nadu,17.87
2015-01-15,2015,1,3,15,Trichy,Tamil Nadu,19.19
2015-01-15,2015,1,3,15,Tirunelveli,Tamil Nadu,21.56
2015-01-15,2015,1,3,15,Erode,Tamil Nadu,14.56
2015-01-15,2015,1,3,15,Vellore,Tamil Nadu,17.54
2015-01-15,2015,1,3,15,Thoothukudi,Tamil Nadu,21.06
2015-01-15,2015,1,3,15,Thanjavur,Tamil Nadu,19.75
2015-01-15,2015,1,3,15,Dindigul,Tamil Nadu,16.32
2015-01-15,2015,1,3,15,Kanyakumari,Tamil Nadu,21.56
2015-01-15,2015,1,3,15,Namakkal,Tamil Nadu,17.87
2015-01-15,2015,1,3,15,Karur,Tamil Nadu,19.19
2015-01-15,2015,1,3,15,Cuddalore,Tamil Nadu,19.57
2015-01-15,2015,1,3,15,Nagapattinam,Tamil Nadu,19.75
2015-01-15,2015,1,3,15,Virudhunagar,Tamil Nadu,20.05
2015-01-15,2015,1,3,15,Sivagangai,Tamil Nadu,18.91
2015-01-15,2015,1,3,15,Ramanathapuram,Tamil Nadu,18.91
2015-01-15,2015,1,3,15,Tiruppur,Tamil Nadu,14.56
2015-01-16,2015,1,3,16,Chennai,Tamil Nadu,19.92
2015-01-16,2015,1,3,16,Coimbatore,Tamil Nadu,14.88
2015-01-16,2015,1,3,16,Madurai,Tamil Nadu,19.97
2015-01-16,2015,1,3,16,Salem,Tamil Nadu,19.56
2015-01-16,2015,1,3,16,Trichy,Tamil Nadu,20.44
2015-01-16,2015,1,3,16,Tirunelveli,Tamil Nadu,22.12
2015-01-16,2015,1,3,16,Erode,Tamil Nadu,15.54
2015-01-16,2015,1,3,16,Vellore,Tamil Nadu,19.46
2015-01-16,2015,1,3,16,Thoothukudi,Tamil Nadu,21.85
2015-01-16,2015,1,3,16,Thanjavur,Tamil Nadu,21.27
2015-01-16,2015,1,3,16,Dindigul,Tamil Nadu,17.21
2015-01-16,2015,1,3,16,Kanyakumari,Tamil Nadu,22.12
2015-01-16,2015,1,3,16,Namakkal,Tamil Nadu,19.56
2015-01-16,2015,1,3,16,Karur,Tamil Nadu,20.44
2015-01-16,2015,1,3,16,Cuddalore,Tamil Nadu,21.43
2015-01-16,2015,1,3,16,Nagapattinam,Tamil Nadu,21.27
2015-01-16,2015,1,3,16,Virudhunagar,Tamil Nadu,20.6
2015-01-16,2015,1,3,16,Sivagangai,Tamil Nadu,19.97
2015-01-16,2015,1,3,16,Ramanathapuram,Tamil Nadu,19.97
2015-01-16,2015,1,3,16,Tiruppur,Tamil Nadu,15.54
2015-01-17,2015,1,3,17,Chennai,Tamil Nadu,20.03
2015-01-17,2015,1,3,17,Coimbatore,Tamil Nadu,15.75
2015-01-17,2015,1,3,17,Madurai,Tamil Nadu,20.76
2015-01-17,2015,1,3,17,Salem,Tamil Nadu,20.42
2015-01-17,2015,1,3,17,Trichy,Tamil Nadu,21.36
2015-01-17,2015,1,3,17,Tirunelveli,Tamil Nadu,22.37
2015-01-17,2015,1,3,17,Erode,Tamil Nadu,16.73
2015-01-17,2015,1,3,17,Vellore,Tamil Nadu,20.09
2015-01-17,2015,1,3,17,Thoothukudi,Tamil Nadu,22.54
2015-01-17,2015,1,3,17,Thanjavur,Tamil Nadu,21.99
2015-01-17,2015,1,3,17,Dindigul,Tamil Nadu,18.1
2015-01-17,2015,1,3,17,Kanyakumari,Tamil Nadu,22.37
2015-01-17,2015,1,3,17,Namakkal,Tamil Nadu,20.42
2015-01-17,2015,1,3,17,Karur,Tamil Nadu,21.36
2015-01-17,2015,1,3,17,Cuddalore,Tamil Nadu,21.84
2015-01-17,2015,1,3,17,Nagapattinam,Tamil Nadu,21.99
2015-01-17,2015,1,3,17,Virudhunagar,Tamil Nadu,20.9
2015-01-17,2015,1,3,17,Sivagangai,Tamil Nadu,20.76
2015-01-17,2015,1,3,17,Ramanathapuram,Tamil Nadu,20.76
2015-01-17,2015,1,3,17,Tiruppur,Tamil Nadu,16.73
2015-01-18,2015,1,3,18,Chennai,Tamil Nadu,19.08
2015-01-18,2015,1,3,18,Coimbatore,Tamil Nadu,16.37
2015-01-18,2015,1,3,18,Madurai,Tamil Nadu,20.72
2015-01-18,2015,1,3,18,Salem,Tamil Nadu,19.66
2015-01-18,2015,1,3,18,Trichy,Tamil Nadu,20.91
2015-01-18,2015,1,3,18,Tirunelveli,Tamil Nadu,23.26
2015-01-18,2015,1,3,18,Erode,Tamil Nadu,17.07
2015-01-18,2015,1,3,18,Vellore,Tamil Nadu,19.2
2015-01-18,2015,1,3,18,Thoothukudi,Tamil Nadu,22.88
2015-01-18,2015,1,3,18,Thanjavur,Tamil Nadu,21.37
2015-01-18,2015,1,3,18,Dindigul,Tamil Nadu,18.8
2015-01-18,2015,1,3,18,Kanyakumari,Tamil Nadu,23.26
2015-01-18,2015,1,3,18,Namakkal,Tamil Nadu,19.66
2015-01-18,2015,1,3,18,Karur,Tamil Nadu,20.91
2015-01-18,2015,1,3,18,Cuddalore,Tamil Nadu,21.26
2015-01-18,2015,1,3,18,Nagapattinam,Tamil Nadu,21.37
2015-01-18,2015,1,3,18,Virudhunagar,Tamil Nadu,21.84
2015-01-18,2015,1,3,18,Sivagangai,Tamil Nadu,20.72
2015-01-18,2015,1,3,18,Ramanathapuram,Tamil Nadu,20.72
2015-01-18,2015,1,3,18,Tiruppur,Tamil Nadu,17.07
2015-01-19,2015,1,4,19,Chennai,Tamil Nadu,18.94
2015-01-19,2015,1,4,19,Coimbatore,Tamil Nadu,16.42
2015-01-19,2015,1,4,19,Madurai,Tamil Nadu,20.5
2015-01-19,2015,1,4,19,Salem,Tamil Nadu,19.49
2015-01-19,2015,1,4,19,Trichy,Tamil Nadu,20.6
2015-01-19,2015,1,4,19,Tirunelveli,Tamil Nadu,22.76
2015-01-19,2015,1,4,19,Erode,Tamil Nadu,16.99
2015-01-19,2015,1,4,19,Vellore,Tamil Nadu,18.82
2015-01-19,2015,1,4,19,Thoothukudi,Tamil Nadu,22.39
2015-01-19,2015,1,4,19,Thanjavur,Tamil Nadu,21.08
2015-01-19,2015,1,4,19,Dindigul,Tamil Nadu,18.49
2015-01-19,2015,1,4,19,Kanyakumari,Tamil Nadu,22.76
2015-01-19,2015,1,4,19,Namakkal,Tamil Nadu,19.49
2015-01-19,2015,1,4,19,Karur,Tamil Nadu,20.6
2015-01-19,2015,1,4,19,Cuddalore,Tamil Nadu,20.98
2015-01-19,2015,1,4,19,Nagapattinam,Tamil Nadu,21.08
2015-01-19,2015,1,4,19,Virudhunagar,Tamil Nadu,21.45
2015-01-19,2015,1,4,19,Sivagangai,Tamil Nadu,20.5
2015-01-19,2015,1,4,19,Ramanathapuram,Tamil Nadu,20.5
2015-01-19,2015,1,4,19,Tiruppur,Tamil Nadu,16.99
2015-01-20,2015,1,4,20,Chennai,Tamil Nadu,18.79
2015-01-20,2015,1,4,20,Coimbatore,Tamil Nadu,16.31
2015-01-20,2015,1,4,20,Madurai,Tamil Nadu,19.26
2015-01-20,2015,1,4,20,Salem,Tamil Nadu,18.73
2015-01-20,2015,1,4,20,Trichy,Tamil Nadu,19.61
2015-01-20,2015,1,4,20,Tirunelveli,Tamil Nadu,21.68
2015-01-20,2015,1,4,20,Erode,Tamil Nadu,16.46
2015-01-20,2015,1,4,20,Vellore,Tamil Nadu,18.66
2015-01-20,2015,1,4,20,Thoothukudi,Tamil Nadu,21.32
2015-01-20,2015,1,4,20,Thanjavur,Tamil Nadu,20.12
2015-01-20,2015,1,4,20,Dindigul,Tamil Nadu,17.31
2015-01-20,2015,1,4,20,Kanyakumari,Tamil Nadu,21.68
2015-01-20,2015,1,4,20,Namakkal,Tamil Nadu,18.73
2015-01-20,2015,1,4,20,Karur,Tamil Nadu,19.61
